id,pdf_present,title,doi,year,source,authors,abstract,doc_type,db,_also_in,decision,confidence,triggered_criteria,reasoning,flag
P0221,False,Data Fusion Approach for Unmodified UAV Tracking with Vision and mmWave Radar,10.1109/icuas65942.2025.11007835,2025,"2025 International Conference on Unmanned Aircraft Systems, ICUAS 2025",Amaral G.; Martins J.J.; Martins P.; Dias A.; Almeida J.; Silva E.,"The knowledge of the precise 3D position of a target in tracking applications is a fundamental requirement. The lack of a low-cost single sensor capable of providing the three-dimensional position (of a target) makes it necessary to use complementary sensors together. This research presents a Local Positioning System (LPS) for outdoor scenarios, based on a data fusion approach for unmodified UAV tracking, combining a vision sensor and mmWave radar. The proposed solution takes advantage of the radar's depth observation ability and the potential of a neural network for image processing. We have evaluated five data association approaches for radar data cluttered to get a reliable set of radar observations. The results demonstrated that the estimated target position is close to an exogenous ground truth obtained from a Visual Inertial Odometry (VIO) algorithm executed onboard the target UAV. Moreover, the developed system's architecture is prepared to be scalable, allowing the addition of other observation stations. It will increase the accuracy of the estimation and extend the actuation area. To the best of our knowledge, this is the first work that uses a mmWave radar combined with a camera and a machine learning algorithm to track a UAV in an outdoor scenario.  © 2025 IEEE.",Conference paper,scopus,ieee; wos,EXCLUDE,high,EXC-7,A tracking system that uses VIO only as an external ground truth reference ('exogenous ground truth obtained from a Visual Inertial Odometry (VIO) algorithm executed onboard the target UAV').,
P0010,True,An Autonomous Visual-Inertial-Based Navigation System for Quadrotor,10.1007/978-981-15-8458-9_43,2021,Lecture Notes in Electrical Engineering,Zhao S.; Li R.; Shi Y.; Li H.,"In this paper, we present a practical autonomous navigation system based on the visual-inertial of a quadrotor. Due to the practical engineering requirement of improving the applicability of the advanced visual-inertial navigation fusion algorithm and 3D mapping algorithm, we realize the on-line 3D trajectory planning and tracking control algorithm with full consideration of UAV dynamics design, and finally complete the quadrotor autonomous navigation system consisting of UAV, upper computer and other software and hardware components. The feasibility is verified by actual flight experiments. The results show that the quadrotor autonomous navigation system can achieve high-precision positioning, online 3D reconstruction and dynamic autonomous navigation in a complex unknown environment without GPS. The system has good accuracy and robustness in real-time, which provides a strong technical support for the subsequent expansion of platform function. © 2021, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Conference paper,scopus,wos,INCLUDE,high,INC-1|INC-2|INC-6,"Article presents a visual-inertial navigation system (INC-1) for quadrotor UAV (INC-2), tested in GPS-denied complex environments demonstrating robustness criteria (INC-6).",
P0439,False,Depth-based Deep Learning for Manhole Detection in UAV Navigation,10.1109/ist55454.2022.9827720,2022,2022 IEEE International Conference on Imaging Systems and Techniques (IST),R. E. Andersen; M. Zajaczkowski; H. Jaiswal; J. Xu; W. Fan; E. Boukas,"Drones navigating in dark, GPS-denied and confined spaces can pose a difficult challenge due to, among other, the processing power required to maintain a high resolution map of the environment. This is specifically challenging when the drone has to fly through narrow spaces where a low resolution voxel representation can result in failure to find viable trajectories. Drawing inspiration from the Inspectrone Project, which deals with the inspection of large marine vessels for classification processes, in this paper we propose using a deep learning model to detect manholes relying only on a depth image. We investigate different sizes of networks in an attempt to provide an adequate accuracy while maintain a low computational load, suitable for drone implementation on a parallel processing co-processor. With an end goal to be able to accurately and robustly traverse the ballast tanks of the aforementioned vessels, we employ a temporal filter to increase the robustness and limit sensitivity to false positives by requiring multiple detections within a timeframe before the final location of the manhole is confirmed to be valid. Our results show that using deep learning on depth images is a feasible way to achieve a scene texture-agnostic solution for the detection the manholes. Our approach is successfully demonstrated by flying through a 1: 1 size standard manhole found on marine vessel.",IEEE Conferences,ieee,,EXCLUDE,high,EXC-7,Manhole detection using deep learning on depth images for higher-level navigation applications.,Scene understanding/object detection application rather than VIO development
P0340,True,UVIO: An UWB-Aided Visual-Inertial Odometry Framework with Bias-Compensated Anchors Initialization,10.1109/iros55552.2023.10342012,2023,IEEE International Conference on Intelligent Robots and Systems,Delama G.; Shamsfakhr F.; Weiss S.; Fontanelli D.; Fomasier A.,"This paper introduces UVIO, a multi-sensor framework that leverages Ultra Wide Band (UWB) technology and Visual-Inertial Odometry (VIO) to provide robust and low-drift localization. In order to include range measurements in state estimation, the position of the UWB anchors must be known. This study proposes a multi-step initialization procedure to map multiple unknown anchors by an Unmanned Aerial Vehicle (UAV), in a fully autonomous fashion. To address the limitations of initializing UWB anchors via a random trajectory, this paper uses the Geometric Dilution of Precision (GDOP) as a measure of optimality in anchor position estimation, to compute a set of optimal waypoints and synthesize a trajectory that minimizes the mapping uncertainty. After the initialization is complete, the range measurements from multiple anchors, including measurement biases, are tightly integrated into the VIO system. While in range of the initialized anchors, the VIO drift in position and heading is eliminated. The effectiveness of UVIO and our initialization procedure has been validated through a series of simulations and real-world experiments. © 2023 IEEE.",Conference paper,scopus,ieee; wos,INCLUDE,high,INC-1|INC-2|INC-3|INC-4|INC-5|INC-6,"UVIO, a visual-inertial odometry system that fuses camera and IMU data (INC-1) for UAV navigation (INC-2), addressing GNSS-denied environments and drift reduction (INC-6).",
P0454,False,Real-Time Onboard UAV Target Detection and Localization for Swarms in Denied Environments,10.1109/leficlu65987.2025.11297347,2025,2025 Low-Altitude Economy Forum & International Conference on Low-Altitude Flight Technology and Unmanned Aerial Vehicle Application (LEF & ICLU),S. Zhang; H. Yi; Z. Yang; Y. Zhao,"This paper presents a real-time onboard UAV detection and localization system designed for swarm operations in GNSS- and communication-denied environments. The system integrates a lightweight YOLOv5-Ghost detector with an RGB-D camera to achieve accurate 3D position estimation of neighboring UAVs without external infrastructure. Extensive indoor experiments with two UAV types demonstrate that the system provides reliable localization and real-time performance in close-range scenarios. The method enables practical swarm collision avoidance and formation control. However, when targets are farther from the camera, distance estimation becomes less reliable and missed detections are more likely. This limitation, along with challenges from adverse lighting and occlusion, constrains the effective operating range of the system. The approach supports robust multi-UAV operations under denied environments, and future work will address autonomous navigation, large-scale field deployment, and adaptation to more diverse scenarios.",IEEE Conferences,ieee,,EXCLUDE,high,EXC-7,"UAV detection and localization for swarm operations using YOLOv5-Ghost detector with RGB-D camera, but does not mention any VIO fusion of visual and inertial data for pose estimation.","Target detection system for swarms, not VIO development"
P0223,False,Kinematically-Constrained Joint Pose Estimation of a UAS and Non-Cooperative Moving Platform,10.2514/6.2026-2173,2026,"AIAA Science and Technology Forum and Exposition, AIAA SciTech Forum 2026",Iyer V.V.; Johnson E.N.,"This work presents a Kinematically-Constrained VIO (KC-VIO) framework for jointly estimating the pose of an Uncrewed Aerial System (UAS) and a non-cooperative moving platform in GPS-denied environments. While standard Visual-Inertial Odometry (VIO) approaches model targets as unconstrained point masses governed by Random Walk (RW) processes, these models fail to capture physical motion constraints, leading to inconsistent state estimates and heading drift. To address this limitation, we fuse stereo vision and inertial measurements within an Extended Kalman Filter (EKF) that incorporates a kinematic bicycle model of the platform. By introducing a novel steering-angle state, we explicitly enforce non-holonomic constraints (zero side-slip) and couple the target’s linear and angular velocities, effectively constraining the evolution of the relative heading without requiring external global measurements. The formulation leverages both stationary and platform-based visual features and accounts for the cross-covariance between UAS and platform errors. Evaluation using real-world flight data demonstrates that, compared to standard Random Walk and simple Non-Holonomic Constraint models, the proposed kinematic formulation significantly reduces relative heading error and improves estimator consistency. © 2025, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.",Conference paper,scopus,,INCLUDE,high,INC-1|INC-2,Paper presents a VIO framework that fuses stereo vision and inertial measurements (INC-1) for an Uncrewed Aerial System (UAS) operating in GPS-denied environments (INC-2).,
P0341,True,Deployment of Reliable Visual Inertial Odometry Approaches for Unmanned Aerial Vehicles in Real-world Environment,10.1109/icuas54217.2022.9836067,2022,"2022 International Conference on Unmanned Aircraft Systems, ICUAS 2022",Bednar J.; Petrlik M.; Vivaldini K.C.T.; Saska M.,"Integration of Visual Inertial Odometry (VIO) methods into a modular control system designed for deployment of Unmanned Aerial Vehicles (UAVs) and teams of cooperating UAVs in real-world conditions are presented in this paper. Reliability analysis and fair performance comparison of several methods integrated into a control pipeline for achieving full autonomy in real conditions is provided. Although most VIO algorithms achieve excellent localization precision and negligible drift on artificially created datasets, the aspects of reliability in non-ideal situations, robustness to degraded sensor data, and the effects of external disturbances and feedback control coupling are not well studied. These imperfections, which are inherently present in cases of real-world deployment of UAVs, negatively affect the ability of the most used VIO approaches to output a sensible pose estimation. We identify the conditions that are critical for a reliable flight under VIO localization and propose workarounds and compensations for situations in which such conditions cannot be achieved. The performance of the UAV system with integrated VIO methods is quantitatively analyzed w.r.t. RTK ground truth and the ability to provide reliable pose estimation for the feedback control is demonstrated onboard a UAV that is tracking dynamic trajectories under challenging illumination.  © 2022 IEEE.",Conference paper,scopus,ieee; wos,INCLUDE,high,INC-1|INC-2|INC-3|INC-6,"Article clearly addresses VIO integration (INC-1) for UAVs (INC-2), focuses on real-world robustness challenges including degraded sensor data and challenging illumination (INC-6).",
P0455,True,UAV state and parameter estimation in wind using calibration trajectories optimized for observability,10.23919/acc50511.2021.9482853,2021,2021 American Control Conference (ACC),A. Shastry; D. A. Paley,"This letter develops a framework for online state, parameter, and wind estimation for a UAV equipped with an Inertial Measurement Unit (IMU) and a ground-velocity sensor, such as visual- or lidar-based odometry. Thrust and moment control inputs are used to steer the process model and the ground-velocity and IMU measurements are assimilated by a square-root unscented Kalman filter containing 23 states, 12 of which are constant parameters. Additionally, we characterize the system's observability and design optimal calibration trajectories to maximize observability of the model parameters. Simulations show the improvements obtained in tracking performance by coupling the estimation framework with a standard model-based controller. By estimating unsteady winds, the onboard controller's gust rejection improves.",IEEE Conferences,ieee,,INCLUDE,high,INC-1|INC-2,"Article describes a state estimation framework for UAVs that fuses IMU and ground-velocity sensor data (visual or lidar odometry), satisfying INC-1 for VIO fusion and INC-2 for aerial platform.",
P0401,True,Low Latency Visual Inertial Odometry With On-Sensor Accelerated Optical Flow for Resource-Constrained UAVs,10.1109/jsen.2024.3406948,2025,IEEE SENSORS JOURNAL,,"Visual inertial odometry (VIO) is the task of estimating the movement trajectory of an agent from an onboard camera stream fused with additional inertial measurement unit (IMU) measurements. A crucial subtask within VIO is the tracking of features, which can be achieved through optical flow (OF). As the calculation of OF is a resource-demanding task in terms of computational load and memory footprint, which needs to be executed at low latency, especially in robotic applications, OF estimation is today performed on powerful CPUs or GPUs. This restricts its use in a broad spectrum of applications where the deployment of such powerful, power-hungry processors is unfeasible due to constraints related to cost, size, and power consumption. On-sensor hardware acceleration is a promising approach to enable low latency VIO even on resource-constrained devices such as nano drones. This article assesses the speed-up in a VIO sensor system exploiting a compact OF sensor consisting of a global shutter camera and an application-specific integrated circuit (ASIC). By replacing the feature tracking logic of the VINS-Mono pipeline with data from this OF camera, we demonstrate a 49.4% reduction in latency and a 53.7% reduction of compute load of the VIO pipeline over the original VINS-Mono implementation, allowing VINS-Mono operation up to 50 FPS instead of 20 FPS on the quad-core ARM Cortex-A72 processor of a Raspberry Pi Compute Module 4.",Article,wos,,INCLUDE,high,INC-1|INC-2|INC-6,"Paper clearly describes VIO system fusing camera and IMU data (INC-1), explicitly targets nano drones and UAVs (INC-2), and addresses computational efficiency for resource-constrained platforms (INC-6).",
P0342,False,DIVE: Deep Inertial-Only Velocity Aided Estimation for Quadrotors,10.1109/lra.2024.3370006,2024,IEEE Robotics and Automation Letters,Bajwa A.; Cossette C.C.; Shalaby M.A.; Forbes J.R.,"This letter presents a novel deep-learning-based solution to the problem of quadrotor inertial navigation. Visual-inertial odometry (VIO) is often used for quadrotor pose estimation, where an inertial measurement unit (IMU) provides a motion prior. When VIO fails, IMU dead reckoning is often used, which quickly leads to significant pose estimation drift. Learned inertial odometry leverages deep learning and model-based filtering to improve upon dead reckoning. Efforts for quadrotors, however, rely on sensors other than, or in addition to, an IMU, or have only been proven on a specific set of trajectories. The proposed generalizable approach regresses a 3D velocity estimate from only a history of IMU measurements, and the learned outputs are applied as a correction to an on-manifold Extended Kalman Filter. The proposed algorithm is shown to be superior to the state-of-the-art in learned inertial odometry. A 42% improvement in localization accuracy is shown over the state-of-the-art on an in-distribution testing set, and a 22% improvement is shown on an out-of-distribution testing set. Additionally, the proposed algorithm shows a 43% improvement over dead reckoning in VIO failure scenarios.  © 2016 IEEE.",Article,scopus,,EXCLUDE,high,EXC-3,"'inertial-only' navigation using only IMU measurements without visual components, which violates INC-1 requiring VIO fusion of both visual and inertial data.",
P0013,False,Cooperative UWB-based localization for outdoors positioning and navigation of UAVs aided by ground robots,10.1109/icas49788.2021.9551177,2021,"ICAS 2021 - 2021 IEEE International Conference on Autonomous Systems, Proceedings",Xianjia Y.; Qingqing L.; Queralta J.P.; Heikkonen J.; Westerlund T.,"Unmanned aerial vehicles (UAVs) are becoming largely ubiquitous with an increasing demand for aerial data. Accurate navigation and localization, required for precise data collection in many industrial applications, often relies on RTK GNSS. These systems, able of centimeter-level accuracy, require a setup and calibration process and are relatively expensive. This paper addresses the problem of accurate positioning and navigation of UAVs through cooperative localization. Inexpensive ultra-wideband (UWB) transceivers installed on both the UAV and a support ground robot enable centimeter-level relative positioning. With fast deployment and wide setup flexibility, the proposed system is able to accommodate different environments and can also be utilized in GNSS-denied environments. Through extensive simulations and test fields, we evaluate the accuracy of the system and compare it to GNSS in urban environments where multipath transmission degrades accuracy. For completeness, we include visual-inertial odometry in the experiments and compare the performance with the UWB-based cooperative localization. © 2021 IEEE.",Conference paper,scopus,ieee,EXCLUDE,high,EXC-7,UWB-based cooperative localization between UAVs and ground robots as the primary contribution.,
