id,class_id,year,title,doi,pdf_present,pdf_path,t1,t2,t3,r1,r2,r3,r4,r5,r6,relevance_score,full_text_decision,exclusion_code,notes
P0409,C2,2025,Development of an Algorithm for Absolute Visual Navigation of an Unmanned Aerial Vehicle,10.3103/s1068799825030067,True,papers/P0409.pdf,Y,Y,Y,1,1,0,1,1,1,5,EXCLUDE,EXC-9,Hybrid absolute map matching + VIO + EKF fusion for GNSS-denied UAV; Russian Aeronautics 2025. EXC-9 withdrawn (no methodological basis); retained on T-1/T-2/T-3 as originally assessed. R2 set to 1 on re-reading: measurement covariance R_vis scaled by RANSAC inlier count (adaptive covariance) plus Mahalanobis gating. R6 re-derived from the recoded aux_sensors column: 1.
P0208,C2,2025,UAV Sensor Data Fusion for Localization Using Adaptive Multiscale Feature Matching Mechanisms Under GPS-Deprived Environment,10.3390/aerospace12121048,True,papers/P0208.pdf,Y,Y,Y,1,1,1,1,1,1,6,INCLUDE,,"Core adaptive-VIO C2 match. Evaluation is simulation-from-real-flight-logs (MATLAB) rather than fully onboard real-time, and baselines limited to internal variants/optical flow; no public benchmark or ATE. Real-time onboard implementation claimed/targeted. R6 re-derived from the recoded aux_sensors column: 1."
P0434,C1,2025,LM-VINS: A Lightweight Magnetic-Assisted Visual-Inertial Navigation System for Unmanned Aerial Vehicles,10.1109/cac67268.2025.11487778,True,papers/P0434.pdf,Y,Y,Y,0,0,1,1,0,1,3,INCLUDE,,"LM-VINS: MSCKF + magnetic heading constraint factor; ellipsoid calibration; lightweight UAV; CAC 2025. CORE. INCLUDE. T1: 'a magnetic heading constraint factor is introduced into the MSCKF filtering framework to construct a heading residual model and suppress heading drift' (p.1); heading measurement model, residual and Jacobian H_mag derived in Sec. III-C.2 (p.4)."
P0624,C7,2025,Particle Filter-Based Localization Using Visual Feature Synchronization in GNSS-Denied Navigation,10.1109/icns65417.2025.10976891,True,papers/P0624.pdf,Y,Y,Y,1,1,1,1,1,1,6,INCLUDE,,"Scene-/feature-matching front-end with learning-augmented (CycleGAN) domain adaptation + MPF over EKF-VIO. Borderline C2 (learning-augmented adaptive) vs C7 (scene-matching front-end); dominant contribution is cross-domain matching -> C7. Quantitative but coarse, hence reduce R6 re-derived from the recoded aux_sensors column: 1."
P0374,C1,2024,Error-State Kalman Filter based Visual-Inertial Odometry Using Orientation Measurement on Unit Quaternion Group,10.1109/iros58592.2024.10801565,True,papers/P0374.pdf,Y,Y,Y,1,0,0,1,0,0,2,INCLUDE,,ESKF with geometric SO(3) error for orientation on closed-platform UAV; flight experiments; IROS 2024. INCLUDE. T1: 'we derive an innovation signal for an orientation measurement model on the unit quaternion group S3 based on the error-state Kalman filter (ESKF) framework' (p.1); 'we fuse IMU linear acceleration and angular velocity with noisy linear velocity measurements from its vision positioning system an
P0381,C6,2024,Autonomous Navigation Algorithm of Monocular UAV Based on Depth Estimation and Robust VIO,10.1109/ifeea64237.2024.10878697,True,papers/P0381.pdf,Y,Y,Y,0,1,0,0,0,0,1,INCLUDE,,"Monocular UAV: VIO scale calibrates depth for obstacle avoidance + VIO init; IFEEA 2024. INCLUDE. T1: modifies VINS-Mono visual initialisation: 'Our method does not triangulate map points when creating map points, but uses depth estimation neural network to provide map points for sliding window at the same time, then calculates interframe pose through PNP' and 'selects the first three frames of Class split C6/C3."
P0418,C3,2024,In-Flight Initialization of Global Visual-Inertial Estimators using Geospatial Data,10.1109/iros58592.2024.10802622,True,papers/P0418.pdf,Y,Y,Y,1,1,0,1,1,0,4,INCLUDE,,In-flight VIO initialization via geospatial data + learning-based matching; degenerate motions; IROS 2024. INCLUDE.
P0422,C5,2024,Square-Root Inverse Filter-based GNSS-Visual-Inertial Navigation,10.1109/icra57147.2024.10611666,True,papers/P0422.pdf,Y,Y,Y,1,1,1,1,1,1,6,INCLUDE,,GNSS-VIO aux-modality fusion (C5) but with strong filter-based estimator + adaptive online calibration; relevance maxed (6). Prior T2 uncertainty resolved - clearly validated on UAV datasets.
P0250,C2,2023,Robust Multi-Sensor Navigation in GNSS Degraded Environments,10.2514/6.2023-2242,False,,Y,Y,?,1,1,0,0,0,1,3,INCLUDE,,Adaptive sensor switching (GNSS/VINS/LIDAR) in GNSS-degraded environments; UAV; AIAA 2023.
P0120,C2,2023,UAV Navigation With Monocular Visual Inertial Odometry Under GNSS-Denied Environment,10.1109/tgrs.2023.3323519,True,papers/P0120.pdf,Y,Y,Y,1,1,0,0,1,0,3,INCLUDE,,"Adaptive gamma correction + adaptive backend weighting + point-line fusion for UAV VIO; IEEE TGRS 2023. INCLUDE. T1: 'we propose a tightly coupled nonlinear adaptive optimization method based on a two-step approach .. adjusted the weights of the point features and line features adaptively in real time' plus adaptive gamma correction and improved EDLines, built on VINS-MONO (p.2, p.3, p.8, eqs. 25-27); T2: EuR"
P0131,C2,2023,GNSS-Denied Semi-Direct Visual Navigation for Autonomous UAVs Aided by PI-Inspired Inertial Priors,10.3390/aerospace10030220,True,papers/P0131.pdf,Y,Y,Y,1,1,0,1,1,1,5,INCLUDE,,Strong adaptive (C2) GNSS-denied VIO/VNS contribution; simulation-only (no onboard real-time demo) so r3=0. Open-source C++.
P0385,C2,2023,A Novel Three-Stage Robust Adaptive Filtering Algorithm for Visual-Inertial Odometry in GNSS-Denied Environments,10.1109/jsen.2023.3289313,True,papers/P0385.pdf,Y,N,Y,1,1,0,1,0,0,3,EXCLUDE,T2,3-stage H∞-CMSCKF + uncertainty memory weighting + mode switching; GNSS-denied UAV+UGV; IEEE Sensors 2023. EXCLUDE T2. T1: 'the H-inf criterion is introduced into the popular cubature multistate constraint Kalman filter (CMSCKF) .. we further put forward a three-stage robust adaptive H-inf filtering algorithm' (p.1); Algorithm 1 AHCMSCKF with uncertainty-degree gating between CMSCKF and HCMSCKF (p.6). T2: 'numerica
P0153,C7,2023,A Visual-Inertial Navigation Coupled Localization Method Based on Adaptive Point-Line Feature Extraction,10.1109/jsen.2023.3312731,True,papers/P0153.pdf,Y,Y,Y,0,1,0,0,1,0,2,INCLUDE,,"Adaptive line feature threshold + point-line VIO; UAV complex envs; IEEE Sensors 2023; CORE. INCLUDE (T-1 first clause; not borderline). confirmed on the text. T-1 (first clause, no borderline flag needed): the paper presents its own VIO system with a new front-end, 'we propose a visual-inertial navigation coupled localization method based on adaptive point-line feature extraction (VIN-APL)' (abstract, p.1),"
P0202,C2,2023,PLI-VIO: Real-time Monocular Visual-inertial Odometry Using Point and Line Interrelated Features,10.1007/s12555-022-0210-9,True,papers/P0202.pdf,Y,Y,Y,1,1,1,0,1,0,4,INCLUDE,,PLI-VIO: EDlines-based line feat extraction + point-line tracking; EuRoC+TUM-VI; IJCAS 2023. R2 set to 1: paper is in an adaptive-strategy row.
P0042,C6,2023,Efficient Visual-Inertial Navigation with Point-Plane Map,10.1109/icra48891.2023.10160393,True,papers/P0042.pdf,Y,Y,Y,1,1,0,1,1,1,5,INCLUDE,,"PPM-VIO: filter-based VIO w/ point-plane map for drift correction; ICRA 2023; EuRoC+MAV. INCLUDE. T1: 'we propose a filter-based, large-scale visual-inertial odometry system, termed PPM-VIO, which utilizes a point-plane map to correct the cumulative drift' (p.1); 'Based on the MSCKF estimator [1], the proposed PPM-VIO applies the point-plane prior map' (p.2); new point-map (Eqs. 14-24, p.3-4) an Class split C6/C1."
P0326,C2,2022,Landmark-Based Scale Estimation and Correction of Visual Inertial Odometry for VTOL UAVs in a GPS-Denied Environment,10.3390/s22249654,True,papers/P0326.pdf,Y,Y,Y,1,1,1,1,0,1,5,INCLUDE,,"Online scale calibration/correction of VIO -> C2 core; EKF-based fusion -> r4=1; GPS-denied -> r1=1; real flight + RMSE -> T3 and r3=1. Landmark is a visual fiducial, not an auxiliary non-visual sensor, so r6=0; front-end emphasis is on scale correction not feature method so R6 re-derived from the recoded aux_sensors column: 1."
P0119,C5,2022,Towards Consistent Visual-Inertial Navigation for Unmanned Aerial Vehicles using Depth Information,10.1109/ccece49351.2022.9918398,True,papers/P0119.pdf,Y,Y,Y,0,1,0,1,0,1,3,INCLUDE,,Matlab simulation only — no UAV platform or aerial dataset; filtering-based DE-VINS for quadrotor. INCLUDE. T1: 'This paper proposes a new filtering-based depth enhanced visual-inertial navigation system (DE-VINS) for quadrotor UAVs using a combined epipolar measurement model and a depth enhanced camera pose update' (p.1); new LiDAR-depth measurement model eq. (5) with Jacobians (6)-(7) and nonlinear obse
P0176,C2,2022,Photometric Visual-Inertial Navigation with Uncertainty-Aware Ensembles,10.1109/tro.2021.3139964,True,papers/P0176.pdf,Y,Y,Y,0,0,1,1,1,0,3,INCLUDE,,Photometric VIO w/ uncertainty-aware ensembles + IEKF; featureless UAV floor; IEEE TRO 2022. CORE. R2 re-derived from the extraction sheet (adaptive_online) and Table 10 membership: 0.
P0256,C1,2021,UAV Visual-Inertial Dynamics (VI-D) Odometry using Unscented Kalman Filter,10.1016/j.ifacol.2021.11.272,True,papers/P0256.pdf,Y,Y,Y,0,0,0,1,0,0,1,INCLUDE,,"VI-D: quadrotor dynamics + UKF for VIO; 2-5% trans, 37% rot improvement; IFAC 2021. INCLUDE. T1: 'The main contribution of this work is the design of a modular state estimator based on an Unscented Kalman Filter which exploits the non-linear quadrotor dynamics with visual-inertial odometry (VI-D) system' (p.2)."
P0052,C2,2021,An Adaptive Approach based on Multi-State Constraint Kalman Filter for UAVs,10.23919/iccas52745.2021.9649897,True,papers/P0052.pdf,Y,Y,Y,1,1,0,1,0,0,3,INCLUDE,,"Adaptive MSCKF with innovation/residual-based noise covariance; drone VINS; ICCAS 2021. INCLUDE. T1: 'our paper proposes new adaptive rules for estimating the noise covariance matrices used in the MSCKF' (p.2); innovation/residual-based recursive Q and R adaptation with forgetting factor, Eqs. (14)-(17) and Algorithm 1 'Adaptive MSCKF' (p.3). T2: 'a small virtual UAV is equipped with a monocula"
P0079,C2,2020,Stereo Visual Inertial Odometry for Unmanned Aerial Vehicle Autonomous Flight,10.1007/978-981-32-9686-2_62,False,,Y,Y,Y,0,0,1,0,1,0,1,,EXC-8,Stereo VIO for UAV autonomous flight; LNEE 2020; PDF mismatch — abstract-only eval; T3 unconfirmed.
P0105,C2,2020,An Online Calibration 2-DoF Attitude and Height State Estimator,10.23919/ccc50068.2020.9188820,True,papers/P0105.pdf,Y,Y,Y,1,1,1,1,1,1,6,INCLUDE,,Online EKF 2-DoF attitude calibration + height radar for altitude drift; UAV SLAM; CCC 2020. High R-score. T-3 is satisfied ('any numeric accuracy figure stated against ground truth or a baseline counts as quantitative'; exclusion only when 'comparison shown only as plots with no number stated anywhere').
P0373,C2,2020,Perception-aided Visual-Inertial Integrated Positioning in Dynamic Urban Areas,10.1109/plans46316.2020.9109963,True,papers/P0373.pdf,Y,N,Y,0,1,0,0,1,0,2,EXCLUDE,T2,Adaptive uncertainty model for dynamic features in VINS; urban canyon experiment; PLANS 2020. T-1 is satisfied: 'we propose to mitigate the effects of dynamic objects by remodeling the uncertainty of dynamic feature point (DFP) using a novel weighting scheme to achieve adaptively tuning of visual measurement model' (p.2 = proc. p.1564); adaptive information matrices Eqs. (23)-(24) replace VINS-Mono's fixed P (p.5).'.
P0285,C2,2019,Online spatial and temporal calibration for monocular direct visual-inertial odometry,10.3390/s19102273,True,papers/P0285.pdf,Y,Y,Y,1,1,0,0,0,0,2,INCLUDE,,Online spatial+temporal calibration for direct VIO; robust without prior info; UAV dataset; Sensors 2019.
P0351,C2,2019,Control-enabled Observability and Sensitivity Functions in Visual-Inertial Odometry,10.1007/s10846-018-0808-6,True,papers/P0351.pdf,N,Y,Y,1,0,0,0,0,0,1,EXCLUDE,T1,Theoretical analysis of control-input effects on VIO sensitivity; Monte Carlo + UAV motions; JIRS 2019. EXCLUDE T1: no VIO algorithm is presented or extended; the estimators used for validation are unmodified prior work.
P0627,C2,2019,Flexible Trinocular: Non-rigid Multi-Camera-IMU Dense Reconstruction for UAV Navigation and Mapping,10.1109/iros40897.2019.8967651,True,papers/P0627.pdf,Y,Y,N,0,0,1,1,0,1,3,EXCLUDE,T3,"Flexible trinocular EKF for non-rigid camera baseline on fixed-wing UAV; geo-referenced mapping; IROS 2019. R6 re-derived from the recoded aux_sensors column: 1. T-2 is satisfied: 'Fixed-wing UAV platform Techpod equipped with the proposed trinocular visual-inertial sensor setup' (Fig. 1, p.1 = proc. p.1137); 'Whilst [1] is only tested in simulation, this publication demonstrates the real-world application' (p.2)."
P0027,C2,2018,Visual-inertial odometry with robust initialization and online scale estimation,10.3390/s18124287,True,papers/P0027.pdf,Y,Y,Y,0,1,0,0,0,0,1,INCLUDE,,Robust VIO init + online scale estimation; EuRoC vs OKVIS/VINS-Mono; foundational.
P0369,C7,2018,Tightly coupled visual inertial odometry based on artificial landmarks,10.1109/icinfa.2018.8812447,True,papers/P0369.pdf,Y,Y,Y,1,1,1,1,1,0,5,INCLUDE,,"IEKF + custom redesigned tag for tightly coupled VIO; mobile robot/UAV; ICCAS 2018. INCLUDE. Confirmed on the text. T-1 first clause: the paper presents its own tightly coupled VIO: 'we propose a cost effective and high robust ego-motion estimation system based on a monocular, Visual Inertial Odometry algorithm that tightly fuses the artificial landmarks and inertial measurements with Itera"
P0067,C2,2015,Sensing and control of a quadrotor using a visual inertial fusion method,10.1109/iccas.2015.7364912,True,papers/P0067.pdf,Y,Y,Y,1,0,1,1,1,0,4,INCLUDE,,Binary template+LK optical flow in EKF for quadrotor; indoor+outdoor flights; foundational EKF-OF VIO.
P0361,C2,2015,Robust visual inertial odometry using a direct EKF-based approach,10.1109/iros.2015.7353389,True,papers/P0361.pdf,Y,Y,Y,1,1,1,1,1,0,5,INCLUDE,,ROVIO: direct EKF-based VIO w/ robocentric multilevel patches; MAV control loop; IROS 2015. Landmark paper. R2 re-derived from the extraction sheet (adaptive_online) and Table 10 membership: 1.
P0115,C2,2026,UAV–UGV Collaborative Localization in GNSS-Denied Large-Scale Environments: An Anchor-Free VIO–UWB Fusion with Adaptive Weighting and Outlier Suppression,10.3390/drones10030175,True,papers/P0115.pdf,Y,Y,Y,1,1,1,0,0,1,4,INCLUDE,,Core adaptive robust weighting/outlier suppression fusion -> C2 (CORE) per explicit adaptive contribution; modality UWB (r6=1). VIO consumed onboard but fusion/estimator + adaptive weighting is the algorithmic contribution (T1 pass). r4=0 (factor-graph optimization backend).
P0177,C1,2026,Enhancing UAV Autonomy and Path Optimization Through SBAS and Visual-Inertial Odometry; [Mejora de la autonomía de UAV y optimización de trayectorias mediante odometría visual–inercial integrada con SBAS],10.15446/ing.investig.119122,True,papers/P0177.pdf,N,Y,Y,1,0,0,0,0,1,2,EXCLUDE,T1,"SBAS+monocular VIO in factor graph for UAV autonomy/path optimization; GPS-denied; 2026. T-1 N: no algorithmic contribution. The estimator described is the generic monocular VIO factor graph - state (2), IMU preintegration residual (5), reprojection residual (6) and the cost 'Minimize sum ||R_IMU(X_t, X_t+1)||^2 + sum ||R_vision(X_t)||^2'."
P0178,C1,2026,Fusion of Visual-Inertial Odometry With LiDAR Relative Localization for Cooperative Guidance of a Micro-Scale Aerial Vehicle,10.1109/access.2026.3666998,True,papers/P0178.pdf,Y,Y,Y,1,1,1,0,0,1,4,INCLUDE,,VIO+LiDAR fusion for cooperative MAV guidance (micro+large UAV team); IEEE Access 2026. T-1 satisfied under the widened second clause: the paper is a multi-sensor state estimator whose contribution is the VIO measurement model and its integration with an auxiliary sensor (LiDAR). 'The key contribution of our work is to fuse the complementary strengths of LiDAR ..'.
P0005,C6,2025,Robust UAV Localization in GNSS-Denied Environments via Efficient Visual Scene Matching-Inertial Fusion,10.1109/cait68620.2025.11424858,True,papers/P0005.pdf,Y,Y,Y,1,1,1,1,1,1,6,INCLUDE,,Lightweight VI localization for GNSS-denied UAV; cross-domain scale fix; efficient onboard; 2025. INCLUDE.
P0007,C1,2025,PO-GVINS: A Tightly Coupled GNSS-Visual-Inertial Navigation Framework Using Pose-Only Representation,10.1109/lra.2025.3606792,True,papers/P0007.pdf,Y,N,Y,1,0,0,1,0,1,3,EXCLUDE,T2,"PO-GVINS: tightly coupled GNSS-VI navigation for aerial/autonomous vehicles; 2025. EXCLUDE (T2). confirmed from the text. T-1 and T-3 are satisfied (pose-only tightly coupled GNSS-VI EKF, 'we propose a filtering-based, tightly coupled GNSS-visual-inertial positioning framework with a pose-only formulation applied to VINS, termed PO-GVINS' (p.1); RMS ATE/ARE/RPE vs MSCKF, VINS"
P0016,C1,2025,GeoVINS: Geographic-Visual-Inertial Navigation System for Large-Scale Drift-Free Aerial State Estimation,10.1109/tro.2025.3613467,True,papers/P0016.pdf,Y,Y,Y,1,1,1,1,1,0,5,INCLUDE,,"GeoVINS: satellite orthoimagery + VINS for large-scale global state estimation; scale+drift fix; 2025. INCLUDE. confirmed from the text, no borderline clause needed. T-1 (first clause): a new tightly coupled estimator, 'We develop a tightly-coupled geographic-visual-inertial navigation framework that incorporates global state initialization and accurate motion tracking' (p.2, contribution 2"
P0036,C1,2025,GO-SLAM: GPS-Aided Visual-Inertial SLAM for Adaptive UAV Navigation in Outdoor-Indoor Environments,10.1109/tim.2025.3538081,True,papers/P0036.pdf,Y,Y,Y,1,1,0,0,0,1,3,INCLUDE,,"GO-SLAM: GPS-aided VI-SLAM with adaptive indoor/outdoor transition for UAV SAR; 2025. INCLUDE (T-1 borderline, second clause; note: 'loosely coupled GPS+IMU+visual sliding-window MAP estimator; contribution is the GPS inte. confirmed from the text and, for Table I, from the PDF'."
P0271,C1,2025,Multiview Landmark-Assisted UAV Swarm 6-DoF Pose Estimation Using Resonant Beam and VIO,10.1109/jiot.2025.3573755,True,papers/P0271.pdf,Y,Y,Y,1,1,0,0,1,1,4,INCLUDE,,"Multiview landmark-assisted UAV swarm 6-DoF pose estimation; GPS-limited IoT environments; 2025. INCLUDE (T-1 borderline, second clause): the per-UAV VIO is off the shelf ('each UAV is equipped with GPU-accelerated VIO'), and the contribution is a multi-sensor estimator integrating the VIO stream with auxiliary RBeam and inter-UAV visual constraints. R2 set to 1: paper is in an adaptive-strategy row."
P0283,C1,2025,Derivative-Enhanced Fusion Approach of Camera-IMU-UWB for GNSS-Denied UAV Navigation,10.1007/978-981-96-3552-8_36,False,,Y,Y,Y,1,0,0,0,0,1,2,INCLUDE,,Derivative-enhanced camera-IMU-UWB tight coupling for GNSS-denied UAV localization; 2025.
P0306,C1,2025,LVIO-GSMAP: Robust LiDAR-Visual-Inertial UAV System With Gaussian Mapping,10.1109/ecie65947.2025.11087050,True,papers/P0306.pdf,Y,Y,N,0,1,0,1,1,1,4,EXCLUDE,T3,"LVIO-GSMAP: LiDAR-VI-SLAM + 3D Gaussian splatting for outdoor UAV; photometric degradation; 2025. EXCLUDE T3 (T-1 borderline-Y under the second clause, T-2 Y): no quantitative accuracy metric is stated against a prior method or baseline."
P0086,C5,2025,Integrated Resonant Beam and VIO for UAV Position and Attitude Sensing in Air-Ground Vehicular Network,10.1109/tvt.2025.3628254,True,papers/P0086.pdf,Y,Y,Y,1,1,0,0,0,1,3,INCLUDE,,"Resonant beam + VIO fusion for UAV position/attitude in GNSS-denied network environments; 2025. INCLUDE (T-1 borderline, second clause). the text supports it under the widened T-1 clause exactly as the coding rule describes. First clause fails: 'we adopt VINS-Fusion (VINS) as the VIO framework' (p.3, Sec. III.A) and 'we obtain the results directly us"
P0339,C1,2025,LGVINS: LiDAR-GPS-Visual and Inertial System Based Multi-Sensor Fusion for Smooth and Reliable UAV State Estimation,10.1109/tiv.2024.3469551,True,papers/P0339.pdf,Y,Y,Y,1,1,0,1,0,1,4,INCLUDE,,LGVINS: tightly-coupled LiDAR+GPS+stereo+IMU filtering for UAV/UGV; IEEE TIV 2025. R2 set to 1: paper is in an adaptive-strategy row.
P0122,C7,2025,GPLVINS: Tightly Coupled GNSS-Visual-Inertial Fusion for Consistent State Estimation with Point and Line Features for Unmanned Aerial Vehicles,10.3390/drones9110801,True,papers/P0122.pdf,Y,Y,Y,1,0,1,0,1,1,4,INCLUDE,,"Front-end/feature-method contribution (point+line, NMS-LSD, line reprojection factor) is primary -> C7; also GNSS-VIO fusion (r6=1, GNSS aux modality). r2=0 (no online adaptivity); r4=0 (optimization-based)."
P0347,C1,2025,Distributed UAV Swarm Collaborative SLAM Based on Visual-Inertial-Ranging Measurement,10.1007/978-981-96-2220-7_18,False,,Y,Y,Y,1,0,0,0,0,1,2,INCLUDE,,Distributed collaborative SLAM for UAV swarm based on VIO with inter-UAV relative measurements; 2025.
P0128,C1,2025,Virtual Stereo Vision-Based Localization and 3D Mesh Mapping for Dual UAV Systems,10.1109/robio66223.2025.11378261,True,papers/P0128.pdf,Y,Y,Y,1,1,0,1,0,1,4,INCLUDE,,"Virtual stereo vision for high-altitude UAV (single camera with temporal stereo); scale fix; 2025. INCLUDE. T1: 'we designed an MSCKF to fuse inertial sensor data, camera sensor data, and pseudo-observation information based on optimization deviations' (p.2), pseudo-observations from inter-UAV co-visibility and UWB ranging merged into an augmented measurement matrix (eqs. 7-12, p.3); consistency-aware opt"
P0130,C1,2025,LiDAR-Based Visual Inertial Odometry for High Altitude UAV,10.1007/978-981-96-2236-8_40,False,,Y,Y,Y,1,0,0,0,0,1,2,INCLUDE,,LiDAR depth estimation compensated VIO for high-altitude UAV; depth accuracy improvement; 2025.
P0173,C1,2025,LiDAR-Visual-Inertial Fusion Architectures for GNSS-Resilient Aerial Navigation: Performance Assessment,10.1109/dasc66011.2025.11257343,True,papers/P0173.pdf,Y,Y,Y,1,1,0,1,0,1,4,INCLUDE,,"LiDAR-Visual-Inertial EKF fusion architectures for GNSS-resilient aerial navigation; 2025. INCLUDE. T1: 'A navigation architecture based on an EKF has been developed which loosely integrates sensors measurements. Two sources of measurements can be chosen, namely either 1) LiDAR only odometry measurements, or 2) LIDAR-aided visual odometry measurement' and 'A strategy is proposed to dynamically cho"
P0187,C5,2025,An Indoor UAV Localization Framework with ESKF Tightly-Coupled Fusion and Multi-Epoch UWB Outlier Rejection,10.3390/s25247673,True,papers/P0187.pdf,Y,Y,Y,1,1,1,1,0,1,5,INCLUDE,,"Strong filter-based (ESKF) auxiliary-fusion contribution with adaptive outlier rejection; VINS-Fusion VIO consumed but core contribution is fusion estimator + outlier rejection (T1 pass). C5 multi-modal fusion. T-1 borderline, retained: VINS-Fusion output is consumed, but the ESKF fusion estimator and the VIO-constrained UWB outlier rejection are new measurement-model contributions (amended T-1 wording, protocol §6)."
P0431,C1,2025,Enhanced State Estimation for Cruise Missiles Navigation: A BDS-Aided VIO Approach,10.1007/978-981-96-2224-5_42,False,,Y,Y,Y,1,0,0,0,0,1,2,INCLUDE,,BDS-aided VIO for cruise missile (unmanned aerial) precise state estimation; GPS-challenged; 2025.
