id,title,year,venue,doi,pdf_retrieved,in_final_corpus
P0048,A Distributed SLAM with UWB-VIO Fusion Framework for Enhanced Relative Localization of Multi-UAVs System,2023,"2023 4th International Conference on Computer Vision, Image and Deep Learning, C",10.1109/cvidl58838.2023.10166845,Y,Y
P0049,A 2D Georeferenced Map Aided Visual-Inertial System for Precise UAV Localization,2022,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros47612.2022.9982254,Y,Y
P0052,An Adaptive Approach based on Multi-State Constraint Kalman Filter for UAVs,2021,"International Conference on Control, Automation and Systems",10.23919/iccas52745.2021.9649897,Y,Y
P0053,Vision-guided unmanned aerial system for rapid multiple-type damage detection and localization,2023,Structural Health Monitoring,10.1177/14759217221084878,Y,N
P0055,Getting Started with a Simple Visual-Inertial Odometry,2024,"2024 22nd International Conference on Research and Education in Mechatronics, RE",10.1109/rem63063.2024.10735689,Y,Y
P0067,Sensing and control of a quadrotor using a visual inertial fusion method,2015,"ICCAS 2015 - 2015 15th International Conference on Control, Automation and Syste",10.1109/iccas.2015.7364912,Y,Y
P0068,A Localization Strategy for Low-cost UAVs Sewers Inspection,2026,"2026 IEEE/SICE International Symposium on System Integration, SII 2026",10.1109/sii64115.2026.11404663,N (EXC-8),N
P0070,"Localization, Planning, and Control of a UAV for Rapid Complete Coverage Bridge Inspection in Large-Scale Intermittent G",2024,IEEE Transactions on Control Systems Technology,10.1109/tcst.2024.3366695,Y,Y
P0071,Resilient Navigation for UAVs: GNSS Attack Detection and Seamless Transition to Visual-Inertial Localization,2025,"Proceedings of 2025 IEEE 22nd India Council International Conference, INDICON 20",10.1109/indicon68490.2025.11392970,Y,N
P0072,A monocular inertial UAV SLAM algorithm leveraging feature clustering,2024,Proceedings - 2024 16th International Conference on Intelligent Human-Machine Sy,10.1109/ihmsc62065.2024.00020,Y,Y
P0075,Comparison of Visual-Inertial Sensor Fusion Techniques for GNSS-Resilient Navigation,2024,AIAA/IEEE Digital Avionics Systems Conference - Proceedings,10.1109/dasc62030.2024.10748659,Y,Y
P0077,Research on Sensor Data Spatiotemporal Synchronization Technology for Onboard Visual Navigation Systems,2025,"2025 IEEE 5th International Conference on Power, Electronics and Computer Applic",10.1109/icpeca63937.2025.10928832,Y,N
P0079,Stereo Visual Inertial Odometry for Unmanned Aerial Vehicle Autonomous Flight,2020,Lecture Notes in Electrical Engineering,10.1007/978-981-32-9686-2_62,N (EXC-8),N
P0080,Visual-inertial positioning method based on priori feature map matching constraints; [基于先验特征地图匹配约束的视觉/惯性定位方法],2022,Zhongguo Guanxing Jishu Xuebao/Journal of Chinese Inertial Technology,10.13695/j.cnki.12-1222/o3.2022.01.007,Y,N
P0083,Quick Initialization Method of Monocular VIO on MAV,2024,Lecture Notes in Electrical Engineering,10.1007/978-981-97-3336-1_22,N (EXC-8),N
P0084,A Comparative Analysis of Hybrid Sensor Fusion Schemes for Visual-Inertial Navigation,2025,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2025.3555758,Y,Y
P0086,Integrated Resonant Beam and VIO for UAV Position and Attitude Sensing in Air-Ground Vehicular Network,2025,IEEE Transactions on Vehicular Technology,10.1109/tvt.2025.3628254,Y,Y
P0087,TSFNet: A Two-Stage Fusion Network for Visual–Inertial Odometry,2025,Mathematics,10.3390/math13233842,Y,Y
P0089,Autonomous navigation of micro aerial vehicles using high-rate and low-cost sensors,2018,AUTONOMOUS ROBOTS,10.1007/s10514-017-9690-5,Y,Y
P0096,Train of Autonomous Aerial Vehicles for Subterranean Exploration with SLAM Capabilities,2025,"AIAA Science and Technology Forum and Exposition, AIAA SciTech Forum 2025",10.2514/6.2025-2067,N (EXC-8),N
P0097,AMADEE-18: Vision-Based Unmanned Aerial Vehicle Navigation for Analog Mars Mission (AVI-NAV),2020,Astrobiology,10.1089/ast.2019.2036,Y,N
P0099,Learning Pose Estimation for UAV Autonomous Navigation and Landing Using Visual-Inertial Sensor Data,2020,Proceedings of the American Control Conference,10.23919/acc45564.2020.9147400,Y,Y
P0101,Adaptive Covariance Matrix for UAV-Based Visual–Inertial Navigation Systems Using Gaussian Formulas,2025,Sensors,10.3390/s25154745,Y,Y
P0103,ST-VIO: Visual-Inertial Odometry Combined with Image Segmentation and Tracking,2020,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2020.2989877,Y,Y
P0104,Comparison of Visual Inertial Odometry using FlightGoggles Simulator for UAV,2019,"International Conference on Control, Automation and Systems",10.23919/iccas47443.2019.8971738,Y,N
P0105,An Online Calibration 2-DoF Attitude and Height State Estimator,2020,"Chinese Control Conference, CCC",10.23919/ccc50068.2020.9188820,Y,Y
P0106,Indoor UAV navigation using event cameras and intermediate frame reconstruction,2026,Computer Vision and Image Understanding,10.1016/j.cviu.2026.104650,Y,Y
P0108,Visual Inertial Navigation for a Small UAV Using Sparse and Dense Optical Flow,2019,"2019 International Workshop on Research, Education and Development on Unmanned A",10.1109/reduas47371.2019.8999672,Y,Y
P0115,UAV–UGV Collaborative Localization in GNSS-Denied Large-Scale Environments: An Anchor-Free VIO–UWB Fusion with Adaptive ,2026,Drones,10.3390/drones10030175,Y,Y
P0116,Cooperative UAV navigation using inter-vehicle ranging and magnetic anomaly measurements,2018,"AIAA Guidance, Navigation, and Control Conference, 2018",10.2514/6.2018-1595,Y,N
P0118,Event-Based Visual/Inertial Odometry for UAV Indoor Navigation,2025,Sensors,10.3390/s25010061,Y,Y
P0119,Towards Consistent Visual-Inertial Navigation for Unmanned Aerial Vehicles using Depth Information,2022,Canadian Conference on Electrical and Computer Engineering,10.1109/ccece49351.2022.9918398,Y,Y
P0120,UAV Navigation With Monocular Visual Inertial Odometry Under GNSS-Denied Environment,2023,IEEE Transactions on Geoscience and Remote Sensing,10.1109/tgrs.2023.3323519,Y,Y
P0122,GPLVINS: Tightly Coupled GNSS-Visual-Inertial Fusion for Consistent State Estimation with Point and Line Features for Un,2025,Drones,10.3390/drones9110801,Y,Y
P0124,Latency compensated visual-inertial odometry for agile autonomous flight,2020,Sensors (Switzerland),10.3390/s20082209,Y,Y
P0125,A Localization and Trajectory Planning Method for UAVs with Visual-Inertial Odometry,2022,"IEEE/ASME International Conference on Advanced Intelligent Mechatronics, AIM",10.1109/aim52237.2022.9863253,Y,N
P0128,Virtual Stereo Vision-Based Localization and 3D Mesh Mapping for Dual UAV Systems,2025,"IEEE International Conference on Robotics and Biomimetics, ROBIO",10.1109/robio66223.2025.11378261,Y,Y
P0130,LiDAR-Based Visual Inertial Odometry for High Altitude UAV,2025,Lecture Notes in Electrical Engineering,10.1007/978-981-96-2236-8_40,N (EXC-8),N
P0131,GNSS-Denied Semi-Direct Visual Navigation for Autonomous UAVs Aided by PI-Inspired Inertial Priors,2023,Aerospace,10.3390/aerospace10030220,Y,Y
P0133,A Method for Measuring the Error Rules in Visual Inertial Odometry Based on Scene Matching Corrections,2024,Micromachines,10.3390/mi15111362,Y,N
P0135,Autonomous exploration of visually-degraded environments using aerial robots,2017,"2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017",10.1109/icuas.2017.7991510,Y,N
P0139,Efficient SLAM Algorithm Based on Quaternions for Real-Time Navigation of Unmanned Aerial Vehicles,2026,Transactions on Emerging Telecommunications Technologies,10.1002/ett.70386,N (EXC-8),N
P0143,An Autonomous Multimodal System for Intelligent Railway Inspection,2025,Proceedings of the Annual Conference of the Prognostics and Health Management So,10.36001/phmconf.2025.v17i1.4319,Y,N
P0147,Online Dynamic Model Calibration for Reliable Control of Quadrotor Based on Factor Graph Optimization,2025,IEEE Transactions on Aerospace and Electronic Systems,10.1109/taes.2025.3566347,Y,N
P0153,A Visual-Inertial Navigation Coupled Localization Method Based on Adaptive Point-Line Feature Extraction,2023,IEEE Sensors Journal,10.1109/jsen.2023.3312731,Y,Y
P0164,Robust visual-inertial odometry with point and line features for blade inspection UAV,2020,Industrial Robot,10.1108/ir-01-2020-0009,N (EXC-8),N
P0167,GNSS-denied UAV indoor navigation with UWB incorporated visual inertial odometry,2023,Measurement: Journal of the International Measurement Confederation,10.1016/j.measurement.2022.112256,Y,Y
P0172,HCCNet: Hybrid Coupled Cooperative Network for Robust Indoor Localization,2024,ACM Transactions on Sensor Networks,10.1145/3665645,Y,Y
P0173,LiDAR-Visual-Inertial Fusion Architectures for GNSS-Resilient Aerial Navigation: Performance Assessment,2025,AIAA/IEEE Digital Avionics Systems Conference - Proceedings,10.1109/dasc66011.2025.11257343,Y,Y
P0176,Photometric Visual-Inertial Navigation with Uncertainty-Aware Ensembles,2022,IEEE Transactions on Robotics,10.1109/tro.2021.3139964,Y,Y
P0177,Enhancing UAV Autonomy and Path Optimization Through SBAS and Visual-Inertial Odometry; [Mejora de la autonomía de UAV y,2026,Ingenieria e Investigacion,10.15446/ing.investig.119122,Y,N
P0178,Fusion of Visual-Inertial Odometry With LiDAR Relative Localization for Cooperative Guidance of a Micro-Scale Aerial Veh,2026,IEEE Access,10.1109/access.2026.3666998,Y,Y
P0181,A robust fault-tolerant control algorithm for GPS-denied mini quadrotors using PID-TinyMPC and visual-inertial odometry,2026,Control Engineering Practice,10.1016/j.conengprac.2026.106779,Y,N
P0182,Monocular visual-inertial SLAM for fixed-wing UAVs using sliding window based nonlinear optimization,2016,Lecture Notes in Computer Science (including subseries Lecture Notes in Artifici,10.1007/978-3-319-50835-1_51,Y,Y
P0185,Perception-Aware Receding Horizon Trajectory Planning for Multicopters With Visual-Inertial Odometry,2022,IEEE Access,10.1109/access.2022.3200342,Y,N
P0187,An Indoor UAV Localization Framework with ESKF Tightly-Coupled Fusion and Multi-Epoch UWB Outlier Rejection,2025,Sensors,10.3390/s25247673,Y,Y
P0188,REVIO: Range- and Event-Based Visual-Inertial Odometry for Bio-Inspired Sensors,2022,Biomimetics,10.3390/biomimetics7040169,Y,Y
P0191,Real-Time UAV 3D Image Point Clouds Mapping,2023,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Scien",10.5194/isprs-annals-x-1-w1-2023-1097-2023,Y,N
P0195,Active Heading Planning for Improving Visual-Inertial Odometry,2024,"2024 International Conference on Unmanned Aircraft Systems, ICUAS 2024",10.1109/icuas60882.2024.10556967,Y,N
P0196,"AIVIO: Closed-Loop, Object-Relative Navigation of UAVs With AI-Aided Visual Inertial Odometry",2024,IEEE Robotics and Automation Letters,10.1109/lra.2024.3479713,Y,Y
P0197,UAV navigation in large-scale GPS-denied bridge environments using fiducial marker-corrected stereo visual-inertial loca,2023,Automation in Construction,10.1016/j.autcon.2023.105139,Y,Y
P0202,PLI-VIO: Real-time Monocular Visual-inertial Odometry Using Point and Line Interrelated Features,2023,"International Journal of Control, Automation and Systems",10.1007/s12555-022-0210-9,Y,Y
P0204,Gateway Crossing Method for Unmanned Aerial Vehicles Based on Lightweight Corner-Assisted Localization and Visual-Inerti,2023,"Proceedings - 2023 2nd International Conference on Machine Learning, Cloud Compu",10.1109/mlccim60412.2023.00032,N (EXC-8),N
P0206,NaviLoc: Trajectory-Level Visual Localization for GNSS-Denied UAV Navigation,2026,Drones,10.3390/drones10020097,Y,N
P0208,UAV Sensor Data Fusion for Localization Using Adaptive Multiscale Feature Matching Mechanisms Under GPS-Deprived Environ,2025,Aerospace,10.3390/aerospace12121048,Y,Y
P0209,Localization through RGB-D Camera for the Quad-rotor,2024,2024 15th International Conference on Computing Communication and Networking Tec,10.1109/icccnt61001.2024.10725903,Y,N
P0211,1D-LRF Aided Visual-Inertial Odometry for High-Altitude MAV Flight,2022,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9811757,Y,Y
P0213,Optimization and Acceleration of Visual-Inertial Navigation System for UAVs Based on Heterogeneous Computing Architectur,2026,Lecture Notes in Electrical Engineering,10.1007/978-981-95-4053-2_48,N (EXC-8),N
P0214,Multimodal Visual Navigation of Unmanned Aerial Vehicles Using Satellite Maps and Thermal Imaging Cameras,2025,Russian Aeronautics,10.3103/s106879982504004x,Y,N
P0216,Visual-Inertial Image-Odometry Network (VIIONet): A Gaussian process regression-based deep architecture proposal for UAV,2022,Measurement: Journal of the International Measurement Confederation,10.1016/j.measurement.2022.111030,Y,Y
P0217,SIMSF: A Scale Insensitive Multi-Sensor Fusion Framework for Unmanned Aerial Vehicles Based on Graph Optimization,2020,IEEE Access,10.1109/access.2020.3000555,Y,Y
P0223,Kinematically-Constrained Joint Pose Estimation of a UAS and Non-Cooperative Moving Platform,2026,"AIAA Science and Technology Forum and Exposition, AIAA SciTech Forum 2026",10.2514/6.2026-2173,N (EXC-8),N
P0225,Loose Coupled Initialization Method for Visual Inertial Navigation in Outdoor Low Altitude Flight Environment,2021,"2021 6th International Conference on Robotics and Automation Engineering, ICRAE ",10.1109/icrae53653.2021.9657780,Y,Y
P0226,Uncrewed system localization using deliberate thermal features,2025,Proceedings of SPIE - The International Society for Optical Engineering,10.1117/12.3053910,Y,N
P0228,Accurate IMU Factor Using Switched Linear Systems for VIO,2021,IEEE Transactions on Industrial Electronics,10.1109/tie.2020.3000097,Y,Y
P0229,Visual Inertial Navigation Optimization Method Based on Landmark Recognition,2024,Communications in Computer and Information Science,10.1007/978-981-97-0885-7_18,N (EXC-8),N
P0231,High-Altitude Precision Landing by Smartphone Video Guidance Sensor and Sensor Fusion,2024,Drones,10.3390/drones8020037,Y,N
P0239,ESLS: A Vision-Based Emergency Safe Landing System for UAVs,2025,Procedia Computer Science,10.1016/j.procs.2025.10.206,Y,N
P0245,Visual-Inertial Navigation Algorithm Development Using Photorealistic Camera Simulation in the Loop,2018,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra.2018.8460692,Y,Y
P0250,Robust Multi-Sensor Navigation in GNSS Degraded Environments,2023,"AIAA SciTech Forum and Exposition, 2023",10.2514/6.2023-2242,N (EXC-8),N
P0251,REFLoc: A Resilient Evolutionary Fusion Framework for Robust Indoor Localization,2024,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2024.3403196,Y,Y
P0252,Employing smartphone as on-board navigator in unmanned aerial vehicles: Implementation and experiments,2015,Industrial Robot,10.1108/ir-01-2015-0016,Y,N
P0256,UAV Visual-Inertial Dynamics (VI-D) Odometry using Unscented Kalman Filter,2021,IFAC-PapersOnLine,10.1016/j.ifacol.2021.11.272,Y,Y
P0257,SBC-SLAM: Semantic Bioinspired Collaborative SLAM for Large-Scale Environment Perception of Heterogeneous Systems,2024,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2024.3385825,Y,N
P0262,Transformer Based Visual Inertial Odometry,2025,Lecture Notes in Electrical Engineering,10.1007/978-981-96-2264-1_54,N (EXC-8),N
P0265,Research on High-Precision 3D Positioning and Map Construction Technology of Unmanned Aerial Vehicles in GIS Environment,2025,"Proceedings - 2nd International Conference on Computer Communication, Networks a",10.1109/ccnis69465.2025.00010,Y,N
P0266,Precision Landing of a Quadcopter Drone by Smartphone Video Guidance Sensor in a GPS-Denied Environment,2023,Sensors,10.3390/s23041934,Y,N
P0268,An Improved Image Stitching Method Based on Vision-Inertial Fusion,2024,Conference Record - IEEE Instrumentation and Measurement Technology Conference,10.1109/i2mtc60896.2024.10560768,Y,N
P0271,Multiview Landmark-Assisted UAV Swarm 6-DoF Pose Estimation Using Resonant Beam and VIO,2025,IEEE Internet of Things Journal,10.1109/jiot.2025.3573755,Y,Y
P0272,Autonomous GPU-based UAS for inspection of confined spaces: Application to marine vessel classification,2024,Robotics and Autonomous Systems,10.1016/j.robot.2023.104590,Y,N
P0277,Visual-Inertial Odometry Using High Flying Altitude Drone Datasets †,2023,Drones,10.3390/drones7010036,Y,N
P0279,Visual-inertial odometry for unmanned aerial vehicle using deep learning,2019,AIAA Scitech 2019 Forum,10.2514/6.2019-1410,Y,N
P0282,MONO-HYDRA: REAL-TIME 3D SCENE GRAPH CONSTRUCTION FROM MONOCULAR CAMERA INPUT WITH IMU,2023,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Scien",10.5194/isprs-annals-x-1-w1-2023-439-2023,Y,N
P0283,Derivative-Enhanced Fusion Approach of Camera-IMU-UWB for GNSS-Denied UAV Navigation,2025,Lecture Notes in Electrical Engineering,10.1007/978-981-96-3552-8_36,N (EXC-8),N
P0284,Quaternion-Based Unscented Kalman Filter for 6-DoF Vision-Based Inertial Navigation in GPS-Denied Regions,2025,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2024.3509582,Y,Y
P0285,Online spatial and temporal calibration for monocular direct visual-inertial odometry,2019,Sensors (Switzerland),10.3390/s19102273,Y,Y
P0286,VIUNet: Deep Visual-Inertial-UWB Fusion for Indoor UAV Localization,2023,IEEE Access,10.1109/access.2023.3279292,Y,Y
P0289,Cooperative Visual-Range-Inertial Navigation for Multiple Unmanned Aerial Vehicles,2023,IEEE Transactions on Aerospace and Electronic Systems,10.1109/taes.2023.3297555,Y,Y
P0290,Research on multi-sensor fusion navigation methods for aerial power operation drones,2025,IET Conference Proceedings,10.1049/icp.2025.2798,N (EXC-8),N
P0292,Bridge Geometric Shape Measurement Using LiDAR–Camera Fusion Mapping and Learning-Based Segmentation Method,2025,Buildings,10.3390/buildings15091458,Y,N
P0293,Fast and Robust Semidirect Monocular Visual-Inertial Odometry for UAV,2023,IEEE Sensors Journal,10.1109/jsen.2023.3309907,Y,Y
P0294,A cliquey subgraph approach to sparsified UAV visual inertial odometry by surjective Bayes-tree-to-factor-graph mapping,2022,Aerospace Science and Technology,10.1016/j.ast.2021.107250,Y,Y
P0298,Real-time motion state estimation of feature points based on optical flow field for robust monocular visual-inertial odo,2025,Expert Systems with Applications,10.1016/j.eswa.2025.126813,Y,Y
P0300,CDSFusion: Dense Semantic SLAM for Indoor Environment Using CPU Computing,2022,Remote Sensing,10.3390/rs14040979,Y,Y
P0302,Loop Detection Method Based on Neural Radiance Field BoW Model for Visual Inertial Navigation of UAVs,2024,Remote Sensing,10.3390/rs16163038,Y,Y
P0304,Analysis on the performance of VIO according to Trajectory Planning of UAV,2020,"International Conference on Control, Automation and Systems",10.23919/iccas50221.2020.9268220,Y,N
P0306,LVIO-GSMAP: Robust LiDAR-Visual-Inertial UAV System With Gaussian Mapping,2025,"2025 5th International Conference on Electronics, Circuits and Information Engin",10.1109/ecie65947.2025.11087050,Y,N
P0309,Distributed Variable-Baseline Stereo SLAM from two UAVs,2021,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra48506.2021.9560944,Y,Y
P0313,Development of an Algorithm for Absolute Visual-Inertial Navigation of Unmanned Aerial Vehicles,2025,Russian Aeronautics,10.3103/s1068799825020217,Y,N
P0315,Direct feature correspondence in vision-aided inertial navigation for unmanned aerial vehicles,2017,"2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017",10.1109/icuas.2017.7991446,Y,Y
P0316,Range–Visual–Inertial Odometry with Coarse-to-Fine Image Registration Fusion for UAV Localization,2023,Drones,10.3390/drones7080540,Y,Y
P0321,Onboard real-time dense reconstruction of large-scale environments for UAV,2017,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros.2017.8206189,Y,Y
P0322,A new visual-inertial odometry scheme for unmanned systems in unified framework of zeroing neural networks,2025,Neurocomputing,10.1016/j.neucom.2024.129017,Y,Y
P0326,Landmark-Based Scale Estimation and Correction of Visual Inertial Odometry for VTOL UAVs in a GPS-Denied Environment,2022,Sensors,10.3390/s22249654,Y,Y
P0327,Viewpoint-Tolerant Place Recognition Combining 2D and 3D Information for UAV Navigation,2018,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra.2018.8460786,Y,N
P0329,Control-enabled observability in visual-inertial odometry,2017,"2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017",10.1109/icuas.2017.7991364,Y,N
P0335,Resilient Vision-Inertial Fusion Algorithm Based on the Depth of Feature Point,2025,IEEE Sensors Journal,10.1109/jsen.2024.3487243,Y,Y
P0336,Robust thermal-inertial localization for aerial robots: A case for direct methods,2019,"2019 International Conference on Unmanned Aircraft Systems, ICUAS 2019",10.1109/icuas.2019.8798279,Y,Y
P0337,Fusion of Optical Flow and Dead Reckoning Algorithms for UAV Navigation Without GPS,2025,TransNav,10.12716/1001.19.04.02,Y,Y
P0338,DeepUKF-VIN: Adaptively-tuned Deep Unscented Kalman Filter for 3D Visual-Inertial Navigation based on IMU-Vision-Net,2025,Expert Systems with Applications,10.1016/j.eswa.2025.126656,Y,Y
P0339,LGVINS: LiDAR-GPS-Visual and Inertial System Based Multi-Sensor Fusion for Smooth and Reliable UAV State Estimation,2025,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2024.3469551,Y,Y
P0340,UVIO: An UWB-Aided Visual-Inertial Odometry Framework with Bias-Compensated Anchors Initialization,2023,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros55552.2023.10342012,Y,Y
P0341,Deployment of Reliable Visual Inertial Odometry Approaches for Unmanned Aerial Vehicles in Real-world Environment,2022,"2022 International Conference on Unmanned Aircraft Systems, ICUAS 2022",10.1109/icuas54217.2022.9836067,Y,Y
P0345,Dense visual-inertial navigation system for mobile robots,2015,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra.2015.7139554,Y,Y
P0346,GPS-VIO Fusion with Online Rotational Calibration,2024,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra57147.2024.10611466,Y,Y
P0347,Distributed UAV Swarm Collaborative SLAM Based on Visual-Inertial-Ranging Measurement,2025,Lecture Notes in Electrical Engineering,10.1007/978-981-96-2220-7_18,N (EXC-8),N
P0349,HVIOnet: A deep learning based hybrid visual–inertial odometry approach for unmanned aerial system position estimation,2022,Neural Networks,10.1016/j.neunet.2022.09.001,Y,Y
P0351,Control-enabled Observability and Sensitivity Functions in Visual-Inertial Odometry,2019,Journal of Intelligent and Robotic Systems: Theory and Applications,10.1007/s10846-018-0808-6,Y,N
P0352,A Visual/Inertial Relative Navigation Method for UAV Formation,2020,"Proceedings of the 32nd Chinese Control and Decision Conference, CCDC 2020",10.1109/ccdc49329.2020.9164765,Y,N
P0355,Research on UAV autonomous positioning system for system engineering; [面向系统工程的无人机自主定位系统研究],2024,Journal of Graphics,10.11996/jg.j.2095-302x.2024020363,Y,N
P0361,Robust visual inertial odometry using a direct EKF-based approach,2015,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros.2015.7353389,Y,Y
P0363,Autonomous Localization and Navigation for Drones Over Rivers,2026,IEEE Access,10.1109/access.2025.3650454,Y,Y
P0364,Kalman Filter-Based Drift Detection and Mitigation of Visual-Inertial Odometry in UAVs,2025,Proceedings of the American Control Conference,10.23919/acc63710.2025.11107817,Y,N
P0367,Cooperative Navigation and Guidance of a Micro-Scale Aerial Vehicle by an Accompanying UAV using 3D LiDAR Relative Local,2022,"2022 International Conference on Unmanned Aircraft Systems, ICUAS 2022",10.1109/icuas54217.2022.9836116,Y,N
P0368,Sensitivity Analysis of a Visual Inertial Odometry-based Navigation System for UAV,2025,Conference Record - IEEE Instrumentation and Measurement Technology Conference,10.1109/i2mtc62753.2025.11079197,Y,Y
P0369,Tightly coupled visual inertial odometry based on artificial landmarks,2018,"2018 IEEE International Conference on Information and Automation, ICIA 2018",10.1109/icinfa.2018.8812447,Y,Y
P0370,Research on UAV-Based Mars Topography Mapping and 3D Reconstruction System,2024,Lecture Notes in Electrical Engineering,10.1007/978-981-97-2116-0_43,N (EXC-8),N
P0373,Perception-aided Visual-Inertial Integrated Positioning in Dynamic Urban Areas,2020,"2020 IEEE/ION Position, Location and Navigation Symposium, PLANS 2020",10.1109/plans46316.2020.9109963,Y,N
P0374,Error-State Kalman Filter based Visual-Inertial Odometry Using Orientation Measurement on Unit Quaternion Group,2024,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros58592.2024.10801565,Y,Y
P0375,Virtual Reality Aided High-Quality 3D Reconstruction by Remote Drones,2022,ACM Transactions on Internet Technology,10.1145/3458930,Y,N
