reference_id,authors_year,year,venue,doi,country_institution,class_id,relevance_score,qa_total,vio_architecture,fusion_method,visual_frontend,features_representation,imu_preintegration,adaptive_online,uav_platform,benchmark_dataset,evaluation_metrics,challenging_conditions,key_contribution,limitations_stated,relevant_rqs,reviewer_notes,aux_sensors,aux_measurement_models,aux_fusion_weight,aux_evidence,height_channel,height_channel_weighting,frontend_type,point_features,frontend_evidence,per_keypoint_quality_scoring,quality_scoring_evidence,limitation_codes,limitation_evidence,recode_notes
P0339,Irfan et al. (2025),2025,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2024.3469551,"University of Limerick, Ireland",C1,3,5.0,Tightly coupled / Filter-based,Kalman filter,Stereo,Not stated,Yes,No,UAV (type unspecified),KAIST Urban,RMSE; APE,GNSS-denied; Dynamic objects; Illumination changes,"The key contribution of this proposed paper lies in addressing the challenges associated with UAV/UGV state estimation. It introduces a consistent and tightly-integrated multi sensor fusion, designed to efficiently fuse commonly used sensors by addressing challenges like processing complexity, sensor synchronization issues, and intra-sensor calibration.",-,RQ2,,LiDAR 3D; GNSS/GPS/RTK,relative pose or point cloud (point-to-plane direct alignment to local map); absolute 3-D position,fixed; hard switch,Sec. V: 'We only fuse the GPS position when it is in good health ... minimum threshold of 11 satellite signals'; Eq. 24-27 LiDAR planar residual with zero-mean Gaussian n_L (no adaptation stated),no,n/a,not stated,yes,"Sec. III-D: 'a 3D feature is identified in a random camera image ... uv measurement' with MSCKF update; detector/tracker not described (VINS/OpenVINS-based, Sec. III)",no,n/a,L3,the accuracy of IMU-based odometry can degrade over time due to the accumulation of errors,"Ambiguous: (a) GPS 3-D fix includes altitude but there is no dedicated height channel, coded height_channel=no; (b) L3 quote is a generic future-work statement motivating radar, not a reported failure of LGVINS. 9-DOF IMU implies a magnetometer but no heading measurement model is given (not coded). Two Livox M360 LiDARs (front and downward). Generic 6-DoF global-pose measurement model (Eq. 32) also given. Onboard Nvidia NX used for data collection; evaluation on a laptop i7. Dynamic objects in KAIST noted as failure cause for baselines, not LGVINS."
P0341,Bednar et al. (2022),2022,"2022 International Conference on Unmanned Aircraft Systems, ICUAS 2022",10.1109/icuas54217.2022.9836067,"Czech Technical University in Prague, Czech Republic",C7,2,4.5,Loosely coupled / Filter-based / Optimisation-based,S-MSCKF; SVO; VINS-Fusion,Stereo,Direct/Photometric,Yes,No,Hexarotor,EuRoC dataset; KAIST VIO dataset,ATE; RPE; RMSE,GNSS-denied; Challenging illumination; Direct sunlight; Vibrations,Integration of VIO approaches into the UAV control system to enable applications without GNSS access in real-world conditions. Trajectory shaping technique that modifies the dynamics of an input trajectory to reduce motion blur and aggressive tilting motion during which a large part of image features is lost.,"VINS-Fusion could not be safely tested in the feedback loop, because it was unstable.",RQ4,,barometer; laser altimeter or 1-D rangefinder (downward); GNSS/GPS/RTK/SBAS,absolute altitude (pressure); range to ground; absolute 3-D position,not stated; not stated; not stated,"'Pixhawk contains a barometer that is fused with accelerations from the IMU and range measurements from the downward-facing laser rangefinder to estimate the altitude'; 'The VIO output is integrated as another sensor entering the State estimation module among GNSS, RTK, IMU, barometer, and laser rangefinder' (Sec. III-B, IV-C)",yes,not stated,consumed pose stream; semi-direct,yes,"'The semi-direct SVO method'; 'VINS-Fusion... uses IMU preintegration and feature point observations'; Figs. 8 and 10 show detected features (Sec. II, V-D)",no,n/a,L1; L2,'at 90 Hz the error starts to rise again as the algorithm approaches the limit of the available CPU resources' | 'In the real-world the algorithms struggled with sunlight and propeller-induced vibrations',"Comparison study of three off-the-shelf VIO methods (S-MSCKF, SVO, VINS-Fusion), each fusing only stereo camera + IMU; the auxiliary sensors belong to the MRS Kalman-filter bank that consumes the VIO pose. RTK is ground truth only; GNSS is used to take off and initialise VIO in simulation. SVO scale errors reported ('position error was huge due to inaccurate estimation of the metric scale') but setup is stereo, so not coded L4. Filter covariances not given."
P0345,Omari et al. (2015),2015,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra.2015.7139554,"ETH Zürich, Switzerland",C6,2,3.5,Tightly coupled / Filter-based / Optimisation-based,EKF,Stereo,Direct/Photometric,Not stated,No / Not stated,Multi-rotor / Hexacopter,Vicon System,Position error; Orientation error; Velocity error; Processing time,GNSS-denied; Highly dynamic motion; Vibrations,The main contribution of this paper is the design of a real-time probabilistic dense visual-inertial state estimation and mapping framework. The framework leverages full photometric information from a stereo-vision system in a probabilistic framework and runs in real-time on a single low-power Intel CPU core.,-,RQ5,,none,n/a,n/a,Sec. III: 'relative pose measurements of the key-frame based dense visual odometry (VO) are fused with inertial measurements in an Extended Kalman Filter'; stereo VI-Sensor only,no,n/a,dense,no,Abstract/Sec. II-B: 'we use the complete dense image intensity information'; 'minimizing the intensity error over the full image' (Eq. 4),no,n/a,none stated,n/a,"Per-pixel error variance sigma_e (Eq. 8, from disparity noise) drives robust Tukey weights in the dense tracker: pixel-level robust weighting, not keypoint scoring. Slight yaw drift (<0.1 rad after 70 s) reported as an observation. Only regions with strong image gradients effectively contribute (Sec. IV-A). Disparity from OpenCV block matcher on keyframes only."
P0361,Bloesch et al. (2015),2015,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros.2015.7353389,"ETH Zurich, Switzerland",C2,4,4.5,Tightly coupled / Filter-based,EKF,Monocular,Direct/Photometric,No,Yes - online calibration of IMU-camera extrinsics and biases,UAV (type unspecified),Not stated,Relative position error,GNSS-denied; High-speed motion,"We propose a visual-inertial odometry framework using direct intensity errors as visual measurements within the EKF update. By choosing a fully robocentric representation of the filter state together with a numerically minimal bearing/distance representation of features, we avoid major consistency problems while exhibiting accurate tracking performance and high robustness.",The framework exhibits a certain offset which can be mainly attributed to the online calibration of the filter. Divergence can occur when the velocity estimate diverges due to missing motion or too many outliers.,RQ3,,none,n/a,n/a,"Sec. II-A: ""The inertial measurements are used to propagate the state of the filter, while the visual information is taken into account during the filter update steps""",no,n/a,direct / photometric,yes,"""Multilevel patch features are directly tracked within the EKF, whereby the intensity errors are used as innovation terms""; ""detection of new features is based on a standard fast corner detector""",yes,"Sec. III-C: ""we compute quality scores in order to decide whether a feature should be kept or not ... a local ... and a global ... quality score and remove the features below a certain threshold""",L3,"""the yaw angle is unobservable and drifts slowly with time""","VI-Sensor is stereo but only one camera stream is used; mocap for ground truth only. FAST corners are detected and ranked by an adapted multi-level Shi-Tomasi score, then tracked as direct multilevel intensity patches (coded direct with point_features yes). Quality scoring is threshold-based selection for landmark management (adaptive threshold controls feature count); no per-point covariance weighting; borderline yes. Mahalanobis outlier rejection also used. Authors also report a divergence mode under missing motion or too many outliers (outside vocabulary)."
P0363,P.-C et al. (2026),2026,IEEE Access,10.1109/access.2025.3650454,"National Chung Hsing University, Taiwan",C6,2,4.5,Loosely coupled / Optimisation-based,Kalman Filter,Monocular,Optical flow,Yes,Yes - The Dynamic Divided Method (DDM) adaptively segments the optical-flow field according to water-surface dynamics and local texture stability.,UAV (type unspecified),Kangqiao; Green River; Wu River,Trajectory similarity; Fréchet distance; Euclidean distance,GNSS-denied; Low-texture; Dynamic conditions,"The paper presents a robust real-time visual–inertial navigation framework that integrates neural network–based optical flow estimation (NeuFlow v2), the Dynamic Divided Method (DDM), and IMU data through a Kalman Filter. The DDM adaptively segments the optical-flow field according to water-surface dynamics and local texture stability, improving robustness in low-texture and dynamic conditions.","The algorithm's limited ability to continuously adapt to dynamic river curvature in real time, as vector correction is only applied during hovering phases.",RQ5,,barometer,"other (barometric altitude D/Z used as scale factor to convert averaged optical flow to metric displacement, Eqs. 9-12; not a filter measurement)","not stated (variance of barometric altitude sigma_Z^2 is propagated into the VO measurement covariance R_eff, Eq. 24; whether sigma_Z^2 changes online is not stated)","Eq. 24: R_eff = R_vo + sigma_Z^2 J_Z J_Z^T, where sigma_Z^2 is the variance of the barometric altitude estimate",yes,not stated,dense,no,Sect. III: NeuFlow v2 decoder produces dense optical flow predictions; flow vectors are averaged over valid regions to a single representative flow vector (Eq. 8),frame-level,Eq. 5: indicator I(t) suppresses updates when the change in Flow_river exceeds a threshold; Sect. IV.C: Kalman gain reduced when residuals exceed innovation threshold,L5,"revealing potential limitations in handling highly curved or dynamically changing flow fields, which could be addressed in future work (Sect. IV.C)","Ambiguous. Filter state is 2-D planar (px, py, vx, vy); barometer enters only as a scale input to the VO measurement model, so height_channel=yes is a judgment call. GPS used only as reference benchmark. Yaw angle theta used to rotate displacements to world frame; its source (IMU/compass) not stated. Optical flow is a learned CNN (NeuFlow v2) but output is dense per-pixel flow, coded as dense. L5 quote concerns moving water-surface flow fields and curved missions (loose fit). Low-FPS drift observation (Fig. 3) and Jetson Orin Nano resolution trade-off appear in Methodology, not coded as L1."
P0377,Mascaro et al. (2018),2018,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra.2018.8460193,"ETH Zurich, Switzerland",C1,3,4.5,Loosely coupled / Optimisation-based,Sliding window,Monocular,Not stated,Not stated,No,Hexarotor,Gazebo simulator; Blender; Leica Nova TM50,Mean translation error; Standard deviation of translation error; Mean computation time; Standard deviation of computation time,GNSS-denied,"A novel, efficient and accurate localization system based on the fusion of generic VI odometry 6 DoF pose and global 3 DoF position inputs. A novel graph construction strategy designed to achieve reliable global orientation estimates when only 3 DoF global position measurements are available.",Future directions will focus on detecting significant drift in the VI odometry pose estimates and account for this during optimization.,RQ2,,GNSS/GPS/RTK/SBAS,absolute 3-D position (3 DoF GPS position at 5 Hz),fixed (information matrices are inverse measurement covariances; Pseudo-Huber robust cost applied to all constraints),Sect. III.C: the information matrices Omega_ij are the inverses of the measurement covariance matrices ... we apply the Pseudo-Huber cost function to all constraints,no,n/a,consumed pose stream,no,Abstract: combines generic 6 DoF visual-inertial odometry poses and 3 DoF globally referenced positions; Sect. IV.A: OKVIS or ROVIO poses passed through MSF,no,n/a,L3,errors arising with GOMSF ... mainly obtained in regions where the drift of the VI odometry increases substantially within a short interval of time (Sect. IV.C); Future directions will focus on detecting significant drift in the VI odometry,"LOOSE FIT for L3: GPS is available in all experiments, so the stated limitation is VIO drift between GPS updates rather than GNSS-denied drift. The UAV onboard IMU is also fused by MSF (IMU, not an aux sensor). GPS z is part of the 3 DoF position but there is no dedicated height channel. Leica Nova TM50 ground truth. Runs onboard an AscTec Neo; simulated GPS noise 0.5 m XY / 0.75 m Z."
P0383,Chen et al. (2020),2020,Sensors (Switzerland),10.3390/s20051263,"The Hong Kong Polytechnic University, Hong Kong",C5,4,5.0,Loosely coupled / Optimisation-based,Error-state Kalman Filter,Depth/ToF/RGB-D,Salient point selection / Canny features,Yes,No / Not stated,UAV (type unspecified),EuRoC MAV Dataset,ATE; RPE; RMSE,GNSS-denied; Low-light,"Improved the conventional ICP workflow with salient point selection criteria and a statistics-based robust weighting factor. Developed an error state Kalman filter based framework to fuse global sensors, composed of a ToF camera and an IMU, achieving locally accurate localization and high computational efficiency.","The limitation of this study is the range of the ToF camera. The depth detection range of the current ToF camera is 4 m, which is short and will limit the vehicle speed and operation time for the mission.",RQ2,,ToF or depth camera,depth per pixel,not stated,"""The ToF camera outputs a depth image ... and a near infrared (NIR) intensity image simultaneously""; ICP pose fused in ESKF with ""Qicp is the covariance of ICP"" (not specified)",no,n/a,dense,no,"""The iterative closest point (ICP) methodology is adopted, incorporating salient point-selection criteria and a robustness-weighting function""",yes,"Eqs. 19-20: ""we modify the error matrix ... with the robust weighting factor"" w(i) = (nu+1)/(nu + ((||Pi - T Pi'|| - u)/sigma)^2) per point pair",L3,"""in an unknown environment without any reference map, the ATE will be accumulated as the drift is not compensated""","The pmd Flexx ToF camera is the sole visual sensor (no conventional camera); coded as aux ToF because it supplies per-pixel depth in addition to the NIR intensity image. Front-end is ICP registration of a salient-point-subsampled point cloud (about 5% of points via intensity/depth gradient, depth-extreme and Canny criteria); no keypoint correspondences, so dense is the nearest category. The per-point weight is a residual-based t-distribution robust weight inside ICP (IRLS-like), not an appearance-based keypoint score (borderline yes). Loosely coupled ESKF. Authors' main stated limitation is the 4 m ToF range (outside vocabulary). Vicon and RealSense T265 for ground truth/benchmark only."
P0393,Yan et al. (2019),2019,ICARM 2018 - 2018 3rd International Conference on Advanced Robotics and Mechatronics,10.1109/icarm.2018.8610740,"National University of Singapore, Singapore",C5,4,3.0,Tightly coupled / Filter-based,EKF,Thermal/Infrared,KLT,Not stated,No / Not stated,UAV (type unspecified),Not stated,Localization error,GNSS-denied; Low-light,"The paper proposes an infrared visual inertial odometry algorithm using a single laser scanner and a thermal camera to estimate scaled relative pose in a monocular VO framework, with a homography decomposition using multi-plane constraints.",-,RQ2,,laser altimeter or 1-D rangefinder (downward),range to ground (terrain-relative height),hard switch,"""uses a laser scanner to measure relative distance to determine the scale factor""; Algorithm 1 tries keyframe height, current laser Lc, previous height, keeping the result with ""dP < tau""",yes,hard switch,optical-flow-tracked corners,yes,"""KLT ... extracts corners by determining the minimum eigenvalue ... and then uses the iterative Lucas-Kanade method with pyramids""; sub-region goodFeaturesToTrack with pruning KLT",frame-level,"""image entropy which characterizes the texture of an image is computed to see if there is a need to change the keyframe""",none stated,n/a,"Laser range (d = cos(roll) cos(pitch) h_laser, tilt-compensated with IMU) enters through the homography scale recovery of the monocular VO, not as a direct EKF height update; the VO pose is then fused with the IMU in a Weiss-style self-calibrating EKF (covariances not stated). The laser is not gimballed while the thermal camera is stabilized. GPS used only for comparison. Pruning-KLT thresholds on the ac term and minimum eigenvalue are detection-time response gates. Conclusion states no limitations."
P0408,Liu et al. (2016),2016,Advances in Mechanical Engineering,10.1177/1687814016640996,"University of Southampton, UK",C1,3,3.0,Loosely coupled / Optimisation-based,Kalman filter; Gradient descent algorithm,Monocular,Not stated,No,Yes - Gyroscope bias online estimation using DC component of angular error feedback,Quadrotor,VICON,Position error; Orientation error,GNSS-denied,"This article presents a computationally efficient visual–inertial fusion algorithm by separating orientation fusion from the position fusion process. The algorithm shows a significant computational reduction over the conventional extended Kalman filter, with competitive accuracy.","The position error is believed to be mainly introduced by the small error in visual scale estimation, which could be the result of small timing error from manual synchronisation or slow converging rate close to the true value.",RQ2,,none,n/a,n/a,"""based on a gyroscope, an accelerometer and a monocular visual-based SLAM algorithm measurement""; ""only the MPU6050 was used in the algorithm""",no,n/a,consumed pose stream,no,"""rotation qVS, as well as the unscaled position pVS is provided by an mSLAM algorithm, which is treated as a black box"" (SVO)",no,n/a,L4,"""the position error is believed to be mainly introduced by the small error in visual scale estimation""","FreeIMU board includes an HMC5883 magnetometer and MS5611 pressure sensor, but only the MPU6050 gyro/accelerometer is used (magnetometer deliberately eliminated). The mSLAM is SVO (semi-direct) but treated as a black box; vision measurement noise is fixed (svs = 0.005). Vicon for ground truth only. Handheld tests only, no flight."
P0412,Surber et al. (2017),2017,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra.2017.7989745,"ETH Zurich, Switzerland",C6,3,5.0,Tightly coupled / Optimisation-based,Kalman filter,Monocular,BRISK,Yes,No,Hexarotor,Not stated,Absolute translation error,GNSS-denied,"A novel, geometrically motivated image-based localization scheme against a geo-referenced map, which, together with a keyframe-based VI-odometry, forms an accurate localization system. A novel, computationally efficient filtering-based alignment to the Reference Map, which is decoupled from the local tracking and mapping.",The appearance of the garden changed too much over two weeks to let the system localize itself successfully within the garden.,RQ5,,satellite-map or reference-map matching; GNSS/GPS/RTK/SBAS,"absolute 3-D position (4-DoF image-to-map registration: x, y, z, yaw); other (GPS used only as a position prior for landmark selection and 10-sigma gating, no residual term)",not stated (Kalman-filter update on each successful localization; measurement covariance not given); hard switch (GPS prior used only while map-relative uncertainty exceeds GPS uncertainty),"Sec. II-B.2/3: 'we use the GPS measurement as a prior for the landmark selection'; 'Whenever a new image is successfully localized within the map, it corrects the belief in an update step.'",no,n/a,descriptor point features,yes,"'Tracking BRISK keypoints across images, the keyframe-based OKVIS system jointly minimizes the reprojection and IMU error terms' (Sec. II-B.1)",no,Offline map pruning only: 'all points with a quality measure below a certain threshold are removed' (Sec. II-A); no per-point weighting in the online estimator,L1; L2,"'Due to overload of the onboard computational power (CPU), the VI-odometry drops frames from time to time' | 'The appearance of the garden changed in the meantime too much to let the system localize itself successfully'","GPS acts as a weak prior/gate, not as a measurement residual; the Reference Map is geo-referenced offline with GPS. L2 reflects appearance change over two weeks (lighting/season), not classic low-texture/blur. Leica total station is ground truth only. Stereo VI-Sensor carried but only the left camera is used."
P0440,Quach et al. (2021),2021,2021 8th NAFOSTED Conference on Information and Computer Science (NICS),10.1109/nics54270.2021.9701527,"National Center For Technological Progress, Vietnam",C3,3,4.5,Tightly coupled / Filter-based / Optimisation-based,MSCKF,Stereo,SuperPoint,Yes,No,Quadrotor,EuRoC; AirSim,ATE; RTE,GNSS-denied; High-speed motion,We propose a new SLAM system named SupSLAM that leverages SuperPoint for feature extraction and uses MSCKF for pose estimation. The system is shown to be feasible for UAV SLAM with performance comparable to state-of-art methods.,"In future work, we aim to leverage SuperPoint to define more efficient data association methods to further improve the accuracy and robustness of the current system.","RQ3, RQ2",,none,n/a,n/a,Sec. II.A: 'The system uses a stereo camera as the input ... accompanied by an IMU'; OpenVINS MSCKF back-end,no,n/a,optical-flow-tracked corners,yes,"Sec. II.C: SuperPoint keypoints selected by NMS, then 'KLT feature tracker and RANSAC ... to track the feature points'; 'we only consider feature points' (descriptors not used)",no,n/a,none stated,n/a,"Learned (SuperPoint) detector without descriptors, tracked by KLT; could alternatively be coded 'sparse point features with descriptors (SuperPoint)'. NMS on SuperPoint response is standard detector post-processing and not counted as quality scoring. Results show worse ATE than OpenVINS on some synthetic sequences but the Conclusion states no limitations."
P0535,Yusefi et al. (2021),2021,IEEE Access,10.1109/access.2021.3049896,"Konya Technical University, Turkey",C7,3,5.0,Tightly coupled / Learning-augmented,LSTM / EKF / UKF / Mahony / Madgwick,Monocular,Optical flow,Yes,No,UAV (type unspecified),EuRoC MAV dataset; Gazebo,RMSE; processing time,GNSS-denied; Low-light; High-speed motion,"We propose a multimodal RNN architecture that allows the DL-based global localization to be generalized to unseen and new environments via the visual and temporal feature extraction trained on CNN and LSTM. By integrating traditional IMU measurement filtering methods instead of LSTM with the CNNs, we demonstrate a more time-efficient deep pose estimation framework.",The proposed method may lead to overfitting and lack generalization capability due to the need for ground truth labels and training data for all scenarios of challenges.,RQ4,,none,n/a,n/a,Sec. III: inputs are 'monocular RGB images ... and IMU measurements'; IMU processed by LSTM or Mahony/Madgwick/EKF/UKF attitude filters,no,n/a,learned end-to-end,no,Sec. III.A: 'A convNet is implemented to extract visual features from the monocular RGB image ... based on the architecture of ResNet-50',no,n/a,L2; L5,Sec. V: other sensors 'may let the DL based localization systems to have more accurate and robust estimations particularly in harsh weather or low-light situations' | 'data need to be trained for all scenarios of challenges (e.g. different weather and environment dynamicity)',Global pose regression (absolute pose in a known scene) rather than odometry. Primary stated limitation is overfitting / lack of generalisation and need for ground-truth labels (not a listed code); L2/L5 are inferred from future-work statements. Filter-based variants estimate attitude only from IMU (no magnetometer stated).
P0538,Karrer et al. (2018),2018,2018 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2018.8461213,"ETH Zurich, Switzerland",C6,1,5.0,Tightly coupled / Collaborative,Bundle adjustment / Factor graph,Monocular,Direct/Photometric,Yes,No,UAV (type unspecified),EuRoC,ATE; RMSE,GNSS-denied; Low-light,"This work presents a back-end to monocular-inertial odometry from one or multiple agents, contributing towards achieving globally consistent SLAM, while resolving the scale ambiguity. The system considers the state of the bias estimate in both a local optimization and during the keyframe culling and is real-time capable in the single agent case.","The reported fluctuations emphasize the need for a tight integration between front-end and back-end in order to allow appropriate reactions to difficult conditions, such as low-textured scenes or bad illumination. Future work will aim at addressing this integration into the proposed system.",RQ5,,none,n/a,n/a,"Sec. III-B: back-end consumes OKVIS KF-messages (pose, IMU readings since last KF, keypoints, descriptors); only reprojection, IMU pre-integration and prior factors (Sec. III-D)",no,n/a,consumed pose stream; descriptor point features,yes,"'Each KF-message encloses the current KF's pose, the IMU readings since the last KF, the locations of the current KF's keypoints in the image, and their corresponding descriptors'",no,n/a (Cauchy loss on reprojection terms and P3P RANSAC only),L2,"the reported fluctuations emphasize the need for a tight integration between front-end and back-end in order to allow appropriate reactions to difficult conditions, such as low-textured scenes or bad illumination",Front-end is off-the-shelf OKVIS (BRISK keypoints); the proposed back-end re-matches descriptors and runs local/global BA. Runtime grows with KF count and two-UAV case is only ~1.5x real-time on an i7 laptop (not coded as L1: not embedded hardware). Evaluated on EuRoC only.
P0545,Choi et al. (2018),2018,2018 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2018.8462920,"University of Waterloo, Canada",C7,1,4.5,Tightly coupled / Optimisation-based,Nonlinear optimization,Stereo,Not stated,Not stated,Yes - Simultaneous estimation of gimbal joint angles and VIO localization state,Quadrotor,Not stated,Reprojection error; RMSE,GNSS-denied,We develop an encoderless DCC calibration approach which eliminates the requirement of joint angle measurements from the actuated mechanism. Our approach estimates the DCC calibration parameters in conjunction with the joint angles of the actuated mechanism for each configuration of the collected measurement set.,"Future work will include testing on a wider range of actuated mechanisms, degeneracy analysis of both the encoderless calibration and online gimbal joint angle estimation, as well as incorporating the calibration into an active Visual SLAM framework.",RQ4,,none,n/a,n/a,'Ground truth of the trajectory is collected using the DJI N3 Autopilot GPS' (Sec. V-B); OKVIS state contains only camera + IMU quantities plus gimbal joint angles,no,n/a,descriptor point features,yes,"'OKVIS is an indirect, nonlinear optimization-based algorithm... minimizing reprojection error'; 'OKVIS includes a 3D-2D RANSAC step' (Sec. IV-C, V-B)",no,n/a,L4,"'small camera baseline results in inaccurate feature depth initialization and a high average feature distance, which in turn causes poor scale observability'","L4 coded for stated poor scale observability although the setup is a stereo/dynamic camera cluster with ~10 cm baseline (plus a monocular trial); also attributed to lack of IMU excitation. AprilGrid fiducial and gimbal IMU are used only for offline calibration/initialisation, not in VIO. All configurations 'expectedly experience trajectory drift' vs GPS (not coded L3). 3D-2D RANSAC disabled for the dynamic camera."
P0026,Zhang X.; Yuan W.; Zheng L.; Zhan X.; Ren Q.; Lin B. (2021),2021,Aerospace Science and Technology,10.1016/j.ast.2021.107065,"China — Shanghai Jiao Tong University; Innovation Academy for Microsatellites, Chinese Academy of Sciences",C1,2,4.5,"Optimization/smoother-based stereo VIO backend (fixed-lag smoother, factor graph) extending iSAM2/GTSAM","Tightly coupled nonlinear optimization (incremental smoothing, marginalization + information sparsification)","Shi-Tomasi feature detection + Lucas-Kanade tracking (OpenCV), aligned with Kimera-VIO frontend",Point features modeled via smart (structureless) factors,On-manifold IMU preintegration (Forster et al.) preserved intact as IMU prior,"Tunable sparsification rate enabling variable-rate, power-aware adaptive marginalization of in-between nodes (online incremental)","None (targeted at exploratory UAVs; evaluated on EuRoC UAV dataset only, no onboard flight)",EuRoC MAV dataset,RMS ATE (m); per-iteration timing (ms): optimization + sparsification,"Power/compute-constrained backend; high-dynamic sequences (V1_03, V2_03); large-scale machine hall","Information sparsification for real-time incremental local-BA VIO by splitting dense information into IMU and visual parts (preserving IMU covariances) and sparsifying only the visual prior via Bayes-tree manipulation + nonlinear factor recovery, with controllable sparsification rate for power saving",Accuracy can decrease vs full formulation (esp. easy/low-dynamic sequences); inferior to IS-VIO in large-scale machine-hall sequences; loop-closure complexity O(n^3),"RQ2, RQ3, RQ4","Strong VIO backend/estimator-efficiency contribution; UAV is target/data only (no GNSS-denied focus, no aux sensors). Prior tagged C4 but it is an estimator advance -> C1.",none,n/a,n/a,"Eq. 4: residuals for marginalization prior, pre-integrated IMU factor and smart (visual) factor only",no,n/a,optical-flow-tracked corners,yes,"""OpenCV implementation of Shi-Tomasi detector is used for feature detection. OpenCV implementation of Lucas-Kanade tracking is used for feature tracking""",no,n/a,none stated,n/a,"Stereo VIO backend (GTSAM/iSAM2 with smart factors), Kimera-VIO-aligned. GNSS mentioned only hypothetically as a sleep-mode indicator to tune the sparsification rate; not fused. Authors note that marginalization and sparsification 'generally leads to less accuracy' (accuracy/efficiency trade-off, not an L1-L5 code). Backend runs on a virtual machine, not embedded hardware."
P0039,Zhang B.; Shao X.; Wang Y.; Sun G.; Yao W. (2024),2024,Drones (MDPI),10.3390/drones8090487,China — Harbin Institute of Technology,C5,5,4.5,"Tightly coupled LiDAR-Visual-Inertial Odometry (LVIO), factor-graph optimization with IMU as system core","Factor-graph optimization fusing IMU preintegration, visual reprojection, and LiDAR registration factors; LiDAR pose back-propagated to constrain visual pose",Visual feature tracking with LiDAR-aided depth association; reprojection-error cross-validation in sliding window to reject depth outliers,Visual point features with LiDAR depth; LiDAR edge/plane points and geometric primitive (irregular-plane) for point-to-surface registration,IMU preintegration; bias correction frequency boosted via LiDAR/visual data integration,Structure monitor adaptively switches LiDAR registration modes (structured vs unstructured); IMU vertical short-term prediction substituted in unstructured scenes,"UAV (low-altitude); private UAV-collected datasets (campus, grove, beach, desert) + public UAV dataset",NTU-VIRAL (public UAV) + self-collected UAV datasets,Absolute trajectory/localization error (m) vs ground truth; per-module runtime (ms),"GNSS-denied, unstructured environments (corridors/deserts/beaches), low vertical LiDAR returns, strong visual interference, long trajectories (~kilometer)","Resilient LiDAR-Visual-Inertial fusion with a structure monitor for hybrid point-cloud registration, point-to-surface model with novel pose solving for irregular surfaces, IMU-based vertical estimation, and reprojection-error depth outlier rejection; outperforms SOTA by >=12.6-15.7%",Future work to add satellite navigation + place recognition for long-term localization (implies current limits in global drift / long-term consistency),"RQ1, RQ2, RQ3, RQ4","Core LVIO advance for GNSS-denied UAV with adaptive mode switching; multimodal (LiDAR) fusion -> C5. r4=0 (optimization, not filter-based).",LiDAR 3D,relative pose or point cloud (LiDAR pose factor and position-consistency constraint; LiDAR also supplies depth per pixel for visual features),hard switch,"""a structure monitor is introduced to switch operation modes in hybrid point cloud registration""; Omega_ij ""calculated based on the sensor measurement noise"" (Eq. 7)",yes,hard switch (structure monitor C_n > C_th = 5: LiDAR z used in structured scenes; in unstructured scenes LiDAR estimates only 3 horizontal DoF and vertical state comes from IMU prediction),not stated,yes,"Fig. 2 visual-inertial module: ""Feature Tracking"", ""Feature Triangulation""; Sec. 5.4: ""extraction and matching of visual features"" (method not named)",no,n/a (borderline: per-feature depth-association confidence tau_i = exp(-beta * e_rp) (Eq. 9) used only to reject depth outliers by threshold),L2; L3,"""strong lighting variations interfere with the visual module's localization accuracy, thus increasing the translation error"" | ""due to the grove sequence covering a distance of 983.5 m, the cumulative error is relatively large""","Limitation quotes come from the results discussion (Sec. 5.2/5.3); conclusion only gives future work (satellite navigation and place recognition for long-term localization). Visual and LiDAR pose covariances Omega from sensor noise (fixed); the hard switch concerns which LiDAR constraints are used, not the channel weight. LiDAR feature weights w(P) = exp(-||P-c||^2/sigma^2) apply to LiDAR points, not image keypoints. D-GPS mobile station / GNSS-INS on the platform used only for ground truth. Visual front-end algorithm never named (marginalization cites ORB-SLAM3 [29])."
